"Sample"	"Maturation"	"Exposure"	"Dose"	"Replicate"	"1-AMINOCYCLOPROPANE-1-CARBOXYLIC ACID"	"1-OLEOYL-RAC-GLYCEROL"	"CDP-ETHANOLAMINE"	"D-(+)-RAFFINOSE"	"D-PANTOTHENIC ACID"	"GLUTARIC ACID"	"GLUTATHIONE"	"GUANOSINE 5'-MONOPHOSPHATE"	"HYPOTAURINE"	"L-LEUCINE"
"I24h0.0a"	"Immature"	"24h"	0	"a"	31.9488057174793	890.142459889992	26.1854693083694	967.449884712353	142.160957512012	9.55419493125163	12099.1704487813	232.469057385327	40.8690281041553	73.6438924243307
"I24h0.0b"	"Immature"	"24h"	0	"b"	33.882407143495	168.80426788249	18.3920638638421	1651.17634158177	163.427621688265	9.15958426141988	16622.5735318536	259.632527426026	33.353060258186	66.9582542030932
"I24h0.0c"	"Immature"	"24h"	0	"c"	37.9696007828325	131.36796809376	31.1518980512303	1229.80194959776	206.914727091757	9.87475686684786	21054.1235513875	349.512760291968	47.5287860240677	82.8032251831523
"I24h0.5a"	"Immature"	"24h"	0.5	"a"	35.4814971906897	99.0372181599433	33.1731070461735	1596.48552347874	152.527501503974	12.826204710046	18623.1032690021	262.581940830516	52.5747032272933	64.2501921708139
"I24h0.5b"	"Immature"	"24h"	0.5	"b"	28.1344200830982	108.907347612026	24.6272930849007	1191.90002626598	137.766681026178	7.82886751162916	16773.4850403502	255.041138218785	40.1259769125628	64.7345477116976
"I24h0.5c"	"Immature"	"24h"	0.5	"c"	41.066965400619	480.432844629908	22.6855859459959	1495.52361181958	235.229708442778	14.5191099779614	27481.2930067582	524.137801703418	56.7142890235955	105.177389740982
"I24h1.0a"	"Immature"	"24h"	1	"a"	27.5330071475776	1424.51841350739	24.8097107729372	1372.13169250849	177.36444852577	12.2748243496471	15750.3789564153	245.480223133413	35.7943432433358	84.683281433216
"I24h1.0b"	"Immature"	"24h"	1	"b"	34.4868886291994	737.796419846752	22.9820925263163	1812.97074760992	160.170621968466	12.114664373271	4321.42776817065	322.894415772965	47.7601015043632	63.8315741936097
"I24h1.0c"	"Immature"	"24h"	1	"c"	40.6555725091982	268.193745773718	35.5149503339749	945.817836285595	169.771983680289	14.1862442139311	20502.2303385252	521.295444436206	65.7758501383819	80.3035630337424
"I10d0.0a"	"Immature"	"10d"	0	"a"	21.3616521809985	887.997311689798	62.5102537363686	1347.48447601065	502.701870329653	30.6676370351387	11523.7077657774	1376.21360315707	339.818171307072	52.5173143699181
