"Sample"	"Maturation"	"Exposure"	"Dose"	"Replicate"	"L-METHIONINE"	"L-NORLEUCINE"	"L-PHENYLALANINE"	"L-TRYPTOPHAN"	"L-TYROSINE"	"LIOTHYRONINE"	"MYRISTIC ACID"	"N-ACETYL-L-ASPARTIC ACID"	"N-ACETYLNEURAMINIC ACID"	"N,N-DIMETHYLARGININE"
"I24h0.0a"	"Immature"	"24h"	0	"a"	479.215258779755	4988.29269888649	4348.82391302008	1076.6754720095	2847.81341874713	22.4970537729071	15.5022819751941	758.490287689871	160.60624870957	14.0986918781539
"I24h0.0b"	"Immature"	"24h"	0	"b"	566.497069852944	5227.67519290713	4631.82479911591	1161.71761961613	3124.24022885768	30.6458425149621	6.10477005150919	871.641828245003	159.382992788009	12.5363182470708
"I24h0.0c"	"Immature"	"24h"	0	"c"	639.720934105705	6078.10663933277	5808.95391416682	1480.96712725333	3997.70889795534	27.1728530691803	11.2219982616199	1076.2688113848	139.876234298022	19.2778857801474
"I24h0.5a"	"Immature"	"24h"	0.5	"a"	525.27992600328	4908.1036530275	4525.5192714142	1197.254340059	3166.28545473748	35.5155579976822	9.87241108198988	915.156716123796	160.525296836011	13.436265553421
"I24h0.5b"	"Immature"	"24h"	0.5	"b"	481.436686660632	4545.32463922045	4230.82974079943	1122.10191058587	2867.52410555116	33.2279276815422	11.1249845365745	879.286544633915	135.698232230694	15.100134917943
"I24h0.5c"	"Immature"	"24h"	0.5	"c"	946.75143005009	8067.70868565353	6946.59711972162	1732.62773873127	4722.88026447707	24.978855393266	10.2951649246803	1311.89158107749	162.010428437051	17.1921507600003
"I24h1.0a"	"Immature"	"24h"	1	"a"	564.199089027979	5804.43201900728	5057.393571442	1271.33234362084	3338.05873851062	25.4966862090546	9.10151233729693	901.173498587852	143.878888452028	18.1335567692346
"I24h1.0b"	"Immature"	"24h"	1	"b"	580.636516733847	5240.7495007409	4929.26144736651	1290.97957900528	3375.42834275977	36.5767046976833	9.0527341789673	953.173262585976	153.206340160476	15.2213111314865
"I24h1.0c"	"Immature"	"24h"	1	"c"	678.335735146313	6460.2644716634	5484.73026887941	1413.60069846908	3723.84444351767	18.9474493666942	12.7340262455599	1026.98838574775	160.456948709216	11.9032770337741
"I10d0.0a"	"Immature"	"10d"	0	"a"	393.775365832117	3732.31725126418	4289.07221311959	1211.30791572802	3008.18727483106	42.4704444426955	17.3624867644449	793.349508839544	124.279976516369	18.7051111844238
"I10d0.0b"	"Immature"	"10d"	0	"b"	583.56862667954	5431.92740034427	6439.6104591095	1693.68493111652	4442.99356744053	10.2402156472872	14.2526187549367	948.413477690309	141.76655960474	27.5683320151385
"I10d0.0c"	"Immature"	"10d"	0	"c"	725.31529946859	5814.65001392727	6718.58622740008	1797.75061025806	4736.38992557943	8.79688141815111	21.0086818650848	1125.95440655176	123.22072394945	23.6231386010087
