"Sample"	"Maturation"	"Exposure"	"Dose"	"Replicate"	"NONANOIC ACID"	"O-ACETYL-L-SERINE"	"PYRIDOXAL 5'-PHOSPHATE"	"RAC-GLYCEROL 1-MYRISTATE"	"SPHINGANINE"	"(S)-LACTIC ACID"	"2-DEOXY-D-GLUCOSE"	"2-METHYLPROPANOIC ACID"	"2-OXOVALERIC ACID"	"3-ALPHA,11-BETA,17-ALPHA,21-TETRAHYDROXY- 5-ALPHA-PREGNAN-20-ONE"
"I24h0.0a"	"Immature"	"24h"	0	"a"	209.537766459684	3125.22513165194	6.09412394576743	38.9261065030197	57.0775073420997	2.62324479365351	15.8070114507833	1.32424185111884	36.6734204645383	49.9310250025988
"I24h0.0b"	"Immature"	"24h"	0	"b"	185.375468744231	2937.11573899085	11.9706671957667	17.0003008856348	23.3775343201079	14.4621913740701	7.09735787552621	1.36090968021702	35.1992068154499	51.6676889074546
"I24h0.0c"	"Immature"	"24h"	0	"c"	150.555967311145	3707.54712510012	8.77950060346631	22.5160547594636	40.41048620453	7.12040547264951	7.58215364463487	3.73437621383157	42.9984240113753	27.1259593329635
"I24h0.5a"	"Immature"	"24h"	0.5	"a"	134.593335509912	3096.80873342422	8.7739400544087	26.8295707197947	28.2901799774544	9.14305305384653	9.88216767014802	2.35321403436545	41.4532163418646	30.842640379529
"I24h0.5b"	"Immature"	"24h"	0.5	"b"	169.596973870733	2841.08295417695	9.73652643263105	29.368816287098	43.2497861006095	7.61895064523955	3.38425989284368	1.33333401209218	37.4881073139631	32.3403232050878
"I24h0.5c"	"Immature"	"24h"	0.5	"c"	186.297452765164	4121.73313987911	13.0773290634765	23.1989100878264	25.3613027414889	14.7381616454919	4.68030144066274	2.65582733035869	56.8620409107537	88.0255495822444
"I24h1.0a"	"Immature"	"24h"	1	"a"	170.634795690141	2879.10838216448	2.31691578928788	27.967915727292	31.5579019044677	8.21329048881728	4.08010253251704	3.66539367981636	39.9958320733466	44.566210734442
"I24h1.0b"	"Immature"	"24h"	1	"b"	142.749510894216	2946.07167342608	14.8069235543649	23.7361138473742	19.692187066801	7.332166121708	15.7965796745196	3.01414070693763	41.7118872849252	23.0426077089403
"I24h1.0c"	"Immature"	"24h"	1	"c"	155.567972618286	4122.72331420319	6.50313895562334	25.0479238135012	34.5345322911266	5.58328583292469	6.10090682171012	4.09513796482435	44.8477459991669	67.5636159365897
"I10d0.0a"	"Immature"	"10d"	0	"a"	144.475094962015	1737.95952296582	6.99067944880035	25.3901565470156	80.089673574705	6.47810636917006	1.18160118916162	2.7672906216385	38.5502511260606	44.675496186344
"I10d0.0b"	"Immature"	"10d"	0	"b"	179.12202745035	2269.16414634633	11.3075150494555	17.6784573697992	36.1346932866327	6.05491581020392	0.911634527072036	3.2672458057403	69.0095600894172	45.4400138103755
"I10d0.0c"	"Immature"	"10d"	0	"c"	167.6206417613	2683.81256704255	8.78910390346299	29.1123221763877	55.5127927403752	6.95897190754391	2.02630729947293	1.73447772663173	60.8065154925405	47.4888579766101
"I10d0.5a"	"Immature"	"10d"	0.5	"a"	151.084110554071	1433.94857896806	11.1200665402739	26.4294533066628	73.983157577746	8.30120783425298	1.74332741333776	2.65891158089951	37.5904624372793	73.9686274876036
"I10d0.5b"	"Immature"	"10d"	0.5	"b"	176.256389664686	1298.81555179315	9.55545454727936	25.7080877514891	91.0092852114251	16.3702136629945	2.28122660296575	2.53838790886019	37.2840224555283	36.635396570553
