"Sample"	"Maturation"	"Exposure"	"Dose"	"Replicate"	"3-METHYLADIPIC ACID"	"4-HYDROXYBENZOIC ACID"	"4-IMIDAZOLEACETIC ACID"	"ALPHA-AMINOADIPIC ACID"	"ARABINOSE"	"D-LYXOSE"	"D-TRYPTOPHAN"	"GALACTITOL"	"GLUCONIC ACID"	"METHYL ACETOACETIC ACID"
"I24h0.0a"	"Immature"	"24h"	0	"a"	25.6995941391234	31.7561834514213	12.7809871044686	3.58313847567315	18.2714042121126	13.387049174541	26.9018596064515	25.1675490659001	545.461141240591	188.463408819884
"I24h0.0b"	"Immature"	"24h"	0	"b"	37.1308849335519	31.9944335052309	11.0106242356292	4.91357772418302	14.650283804326	8.54548052265965	26.2358661604239	38.0222333147943	555.387136984887	139.916236009713
"I24h0.0c"	"Immature"	"24h"	0	"c"	45.9993940555409	37.6264550752688	15.8858049308683	6.98279949832163	17.3028843833786	12.0188934925971	28.4845648403023	49.5878695823104	605.041999857833	141.196275115172
"I24h0.5a"	"Immature"	"24h"	0.5	"a"	39.3061325988862	32.4985261932109	7.81976530428199	4.16219677685548	15.2992818214218	15.3140785737456	29.9219405371985	34.0023906404724	568.741288832817	152.971661426384
"I24h0.5b"	"Immature"	"24h"	0.5	"b"	45.6655034380257	33.3076949008524	8.13061832553328	5.95858468248773	17.0474032856603	8.78410796960461	28.3310628232594	40.52140086317	550.957040895979	126.558658481215
"I24h0.5c"	"Immature"	"24h"	0.5	"c"	41.5583379659379	48.285328350464	10.7830387193662	4.12763588269114	14.3427008723551	9.37041780176219	31.0829116503626	49.9941538106427	617.014625513733	131.364385283959
"I24h1.0a"	"Immature"	"24h"	1	"a"	37.7728882654939	36.4076972971902	8.98074585651229	5.86419300846205	16.9888460437333	12.1418404349187	23.9429153716982	34.4478377159037	587.390924306805	118.87691100559
"I24h1.0b"	"Immature"	"24h"	1	"b"	34.2048740570784	31.8342597851022	11.6775903484439	5.06631895027302	28.035070966881	12.6904128439022	26.6354081588385	36.1881390047477	634.536067617543	189.674221640045
"I24h1.0c"	"Immature"	"24h"	1	"c"	36.5851031211626	39.2533718761751	11.4984137424975	4.58985487054428	15.9631172708579	12.6418475911479	29.3110304278311	37.0419346740653	602.016601574552	127.001310297282
"I10d0.0a"	"Immature"	"10d"	0	"a"	42.4795587681007	23.6677009069999	10.214860352048	4.43389002962085	14.6089710961555	16.3958527961536	26.258386143136	89.3756252349818	576.103687483044	67.3176917208785
"I10d0.0b"	"Immature"	"10d"	0	"b"	33.0567281853703	29.6972515893193	14.274880383767	6.32255815546014	12.244381781353	10.2414942129086	31.8128884770817	118.025663927954	561.6513233868	71.8513546432906
"I10d0.0c"	"Immature"	"10d"	0	"c"	47.6856432116089	22.2122198380728	8.06733516551229	6.28904237718462	9.66551045584875	13.7206581717064	42.3397146237708	142.576411137284	626.294035300867	75.0532029274083
"I10d0.5a"	"Immature"	"10d"	0.5	"a"	47.4841105135565	23.1912509847426	11.1652886679474	5.29704220002684	16.370770533713	12.6672417028288	26.3477120330748	88.4079739961181	617.873982304061	62.0732255681182
"I10d0.5b"	"Immature"	"10d"	0.5	"b"	46.1648005739587	26.3986731368248	11.2574182919804	4.99235765534166	16.695983645674	12.621652675526	28.5097418489508	98.9784841308161	512.500920785449	71.7324247824914
"I10d0.5c"	"Immature"	"10d"	0.5	"c"	40.1699003772413	24.391185623026	11.8364562289335	4.41488439526654	18.9731631518687	12.0705806166799	30.0444252628639	111.825520266415	620.479939260808	70.9364789567002
"I10d1.0a"	"Immature"	"10d"	1	"a"	16.8627422055803	29.8247352239315	9.44995108387567	4.10827426542359	25.597724350636	2.42312207835061	22.729243408396	65.7309494547047	661.241200939238	90.8639098383953
"I10d1.0b"	"Immature"	"10d"	1	"b"	7.66520454822808	23.957343306425	11.1133269092571	3.74967200956807	19.1875220427075	1.13234025828042	26.5114361737759	93.8616657184675	596.228983857968	102.619156703835
"I10d1.0c"	"Immature"	"10d"	1	"c"	48.0226655713334	27.5570083550372	7.82476652847694	3.49808347935515	13.0186600525059	10.4056013742681	28.0321500758422	77.2430648797542	495.385963683876	79.8389539287387
"M24h0.0a"	"Mature"	"24h"	0	"a"	5.77308701448813	27.0143197851734	8.12312695001819	8.31507186914668	19.542518786044	0.500666483910692	27.2589100936925	105.958512467281	641.851718192098	211.20620315467
"M24h0.0b"	"Mature"	"24h"	0	"b"	36.3492928497746	21.3974326233899	6.00313813059333	8.51914537974486	15.2690478670904	15.1336527586874	23.2133567236154	81.025520308123	582.399646451267	140.796296462796
"M24h0.0c"	"Mature"	"24h"	0	"c"	31.2678193668963	28.4943216154861	12.1116431165653	15.300319134386	18.5051694598478	2.63992750239058	34.8217174971751	111.130300459693	493.269550531208	121.325160740643
"M24h0.5a"	"Mature"	"24h"	0.5	"a"	14.9102074518545	27.1312844770264	8.1590763329634	11.4669276272367	23.8762712041482	0.892266638633092	25.1102239319198	94.8281347228969	606.725522483445	148.413325573547
"M24h0.5b"	"Mature"	"24h"	0.5	"b"	28.277390295612	26.9486061510077	8.93165421880056	10.5060511175686	17.1222875850843	2.75359658836258	20.3256100750189	70.0010427558088	584.637456281234	133.771052577459
"M24h0.5c"	"Mature"	"24h"	0.5	"c"	27.8192074757172	26.4865850124109	8.40728042873463	13.3487946833749	16.964870277806	4.4287771655774	28.8314166687079	109.836930749712	539.493229892544	90.254460935013
"M24h1.0a"	"Mature"	"24h"	1	"a"	37.5625165155591	25.6152910726845	9.14301486735868	12.2058799244123	14.9178939536661	5.9403484067665	24.2573213053861	66.8345480212911	564.419034843072	173.579183701671
"M24h1.0b"	"Mature"	"24h"	1	"b"	12.5877923215668	28.0266663555711	7.10691079133052	10.8870664298929	15.5408387981902	0.466093929396344	22.2004982517704	83.0417710204989	547.023165444395	170.470841495364
"M24h1.0c"	"Mature"	"24h"	1	"c"	18.2766687760296	29.6099814592982	4.88383662090884	12.1670687446945	20.5762303685544	0.48839889985044	24.6807209018066	88.2218760819411	530.256846254566	85.4321788961157
"M10d0.0a"	"Mature"	"10d"	0	"a"	34.0954899616781	27.3883550026476	9.38322011632506	3.07182409195211	14.384568523798	17.0440677026111	27.1302527144034	125.831733633796	536.305329322603	67.3749224081422
"M10d0.0b"	"Mature"	"10d"	0	"b"	41.1681910733775	31.4025232678505	4.5149751602571	4.53515655403008	14.9796212354961	9.74377559961242	21.5940139928377	81.8952715835538	543.108103250722	69.5909439534413
"M10d0.0c"	"Mature"	"10d"	0	"c"	17.804000708537	26.4588652549578	9.68530629974089	3.73931783886129	14.3335594125531	10.5180826547655	34.5317696690772	109.933994558509	498.605839198607	90.8282463758608
"M10d0.5a"	"Mature"	"10d"	0.5	"a"	29.8335533849761	28.6647022081288	5.66361181979263	4.01049442138322	16.3387485638171	14.3893007630474	24.6636640612633	84.3057442435903	533.552180530639	88.8798684083574
"M10d0.5b"	"Mature"	"10d"	0.5	"b"	34.6934185512068	29.8072309767817	8.85252017636851	3.22483729764959	12.7411960531189	13.5574677713089	35.1536290473356	89.0494132834735	551.623960372584	67.9550438831984
"M10d0.5c"	"Mature"	"10d"	0.5	"c"	34.2797157176337	25.9480130125389	8.20146865949872	3.00167582098964	13.1634666601448	10.3953458665441	32.1912293320486	118.323877710839	523.789913234637	81.4237294376477
"M10d1.0a"	"Mature"	"10d"	1	"a"	11.037184946406	28.7216914765623	5.85635365227326	5.31142129386831	18.8325343721011	2.47924866007071	23.2253366944041	93.4116591610842	562.791325183947	89.0699766510985
"M10d1.0b"	"Mature"	"10d"	1	"b"	37.7843988414633	35.0666256697019	11.7651723348214	3.94814195112327	15.4847712039707	15.9046991791398	30.6213105592974	109.784982555693	550.0609108948	81.030522899232
"M10d1.0c"	"Mature"	"10d"	1	"c"	25.8016922153448	31.2255961417679	10.4351123766392	3.4819491938664	16.349191261676	11.6020054901121	26.6941593887423	102.318224222443	481.783686102394	119.155757261918
