"Sample"	"Maturation"	"Exposure"	"Dose"	"Replicate"	"NICOTINIC ACID (NIACIN)"	"O-SUCCINYL-L-HOMOSERINE"	"PARAXANTHINE (1,7-DIMETHYLXANTHINE)"	"PYRROLE-2-CARBOXYLIC ACID"	"VITAMIN D2"	"1,2-DIDECANOYL-SN-GLYCERO-3-PHOSPHOCHOLINE"	"4-HYDROXY-L-PROLINE"	"5-HYDROXYMETHYLURACIL"	"5-VALEROLACTONE"	"ACETOACETIC ACID"
"I24h0.0a"	"Immature"	"24h"	0	"a"	10.056831556765	3.12959160151796	2.12916383437792	2.58842573531833	53.8283335500436	20.9807041974509	58.8904241155054	14.6357570886503	10.1874782996627	32.8140126185871
"I24h0.0b"	"Immature"	"24h"	0	"b"	2.46489138814638	2.48114127829065	2.17843194875211	1.24840111701956	32.6614480379323	12.4801804058768	38.5836848376607	13.5831582832367	6.74350788559207	72.6023808389874
"I24h0.0c"	"Immature"	"24h"	0	"c"	6.46910281246599	2.39158280975058	1.98445984618967	2.4116726899276	66.534052413085	22.0670145866863	85.2399715652468	16.0469229284424	8.12836385220233	30.2306100113731
"I24h0.5a"	"Immature"	"24h"	0.5	"a"	3.30800965143676	1.68802187463304	1.9146558389221	3.04900485239551	51.5744789560281	18.6515067594216	80.5231692118951	7.91317577516697	6.35632700053135	39.6746246396926
"I24h0.5b"	"Immature"	"24h"	0.5	"b"	10.9422567435822	2.67801120122529	2.70302909174643	1.84416296517433	57.3973222391207	24.5321731223869	41.3487613513575	27.2997616729309	8.28574245513925	84.9493160573906
"I24h0.5c"	"Immature"	"24h"	0.5	"c"	4.27475193805649	2.29984423158255	1.90210520796474	2.38941743332048	22.1704392442598	26.7710561054977	112.416190415278	15.1219774984934	6.81374288452795	85.4302652764265
"I24h1.0a"	"Immature"	"24h"	1	"a"	2.85834842646062	1.31916457962279	1.81111710052672	2.0636904443595	32.7537048140096	16.8210397101789	57.8202945893374	9.86853249502581	8.17277839000539	78.5454230566624
"I24h1.0b"	"Immature"	"24h"	1	"b"	2.23418881280182	3.04895401028347	1.96163177130897	2.87154152184191	28.3244912162	24.8230128737174	72.9809967731868	12.2221213901414	5.08947043825681	30.5131341347816
"I24h1.0c"	"Immature"	"24h"	1	"c"	10.9016536270966	2.50572623621593	0.811765955496653	3.7640188624769	73.5075740476295	29.5753490633102	77.4582095510685	22.9856640038828	6.8658224999152	35.0589212863798
"I10d0.0a"	"Immature"	"10d"	0	"a"	3.66934590571357	2.93160876998428	1.04269200214058	3.38878881263019	32.8600169574534	41.3192860175294	30.5245216701911	289.268315065321	4.04223196158982	60.7423044369455
"I10d0.0b"	"Immature"	"10d"	0	"b"	2.45104864806422	2.25006252701748	1.60063833255641	3.38544285390094	22.4519490949463	36.07617531956	44.3035388456716	253.824140070687	4.22521603323779	55.9122546666678
"I10d0.0c"	"Immature"	"10d"	0	"c"	3.48545967072446	0.99337276536053	2.11302724005747	3.39387175781392	21.3950048330011	18.6545731529805	38.9197899636349	286.990386466234	4.28466000629813	74.4137055927381
"I10d0.5a"	"Immature"	"10d"	0.5	"a"	5.51610407049876	0.995327673938519	0.402261854006726	3.26224607350797	32.4355719035188	40.4558381395694	23.8777545903394	115.81792467218	8.12342930755737	30.9460676414189
"I10d0.5b"	"Immature"	"10d"	0.5	"b"	1.67324523034233	2.34252911729137	1.70597366482478	3.05839440561052	29.5461451406551	16.5001973954644	10.2492819915325	203.869204973485	5.33832717739658	68.4107934016152
"I10d0.5c"	"Immature"	"10d"	0.5	"c"	4.68675867387485	2.57745850888553	0.294182620929136	3.36713147147907	28.9377293537663	32.5073321700675	32.4941784135998	255.438808784758	6.98213912208059	54.6867846017748
"I10d1.0a"	"Immature"	"10d"	1	"a"	3.25849486030815	1.90636869632285	1.41290624534156	3.16861339925291	15.6958582400929	36.2191307708594	14.6089189484212	153.243992380283	6.44650021143485	19.4193221064559
"I10d1.0b"	"Immature"	"10d"	1	"b"	4.35671325354405	1.30521526957663	1.91579748407559	2.86682575395799	13.6148194873692	16.1755185501132	22.0011691577312	302.364944585536	8.27829295300519	84.5577066660028
"I10d1.0c"	"Immature"	"10d"	1	"c"	2.03189888377886	1.39189081401901	0.716587481496902	3.65382006469391	22.6656346317818	12.8865875734398	8.13295614716163	250.412965411887	3.43140580164693	70.4725952431875
"M24h0.0a"	"Mature"	"24h"	0	"a"	5.59000595675156	3.15939915060505	2.54743396113881	3.11258523603181	11.8457010244733	25.2890600955928	7.56759929830965	167.006881206192	6.1134609925919	27.7877825168071
"M24h0.0b"	"Mature"	"24h"	0	"b"	4.57655546887397	3.85667867456947	2.93703324652985	4.41265458456466	21.1887330285458	34.455696657663	6.25303117413625	103.025734071354	9.80272034909296	24.7909699500743
"M24h0.0c"	"Mature"	"24h"	0	"c"	4.26726359575221	2.42914708334271	1.16057903177107	3.63609689091886	11.6063886187828	24.9697284966323	20.8765681727463	243.99320491437	6.0525714484864	60.2397604170416
"M24h0.5a"	"Mature"	"24h"	0.5	"a"	4.22211334943459	3.49119976905514	2.49413271868968	3.27266357064865	11.5558851451232	33.2889582114116	5.23290213391121	144.223504166049	7.37408911768724	25.887480162602
"M24h0.5b"	"Mature"	"24h"	0.5	"b"	2.42647555545569	1.94345860718715	0.894821943246295	3.59867157578601	23.2765333038676	15.1227290971077	5.12676328935849	125.461904420528	6.93624332856814	54.2326799009341
"M24h0.5c"	"Mature"	"24h"	0.5	"c"	4.56269211582826	2.04535514838217	1.49595815830156	5.72111201383194	16.7277619381244	19.6632679942582	7.08023231264124	209.726568760177	3.55621804353131	74.1441557554085
