"Sample"	"Maturation"	"Exposure"	"Dose"	"Replicate"	"ADENOSINE"	"D-FRUCTOSE"	"D-RIBOSE"	"D-SPHINGOSINE"	"HEXANOYL-L-CARNITINE"	"L-ALLOTHREONINE"	"L-ISOLEUCINE"	"LINOLEIC ACID"	"OLEIC ACID"	"PETROSELINIC ACID"
"I24h0.0a"	"Immature"	"24h"	0	"a"	226.747135596076	114.560654315119	3.45488563847942	77.2672062996178	33.219632077887	137.059254441524	995.951645299563	27.7579468459929	26.3060390176242	19.0663968901764
"I24h0.0b"	"Immature"	"24h"	0	"b"	304.286160540219	113.533289050667	5.46510373672673	81.520216035922	62.9074429925548	75.3203402401184	1296.51499472055	39.134746809174	26.8618636317213	14.0212486611033
"I24h0.0c"	"Immature"	"24h"	0	"c"	575.457202786906	110.650586844266	6.80779928568381	89.8017076220127	72.547548481511	185.968347197787	1559.6058171887	16.6174353351977	27.9980658455079	14.0106241029488
"I24h0.5a"	"Immature"	"24h"	0.5	"a"	605.399246057231	147.915259428397	5.72971431840736	113.480494540478	67.8291650311506	134.973406678871	1390.9743485293	24.7447264310371	25.3879268932468	27.59187502806
"I24h0.5b"	"Immature"	"24h"	0.5	"b"	280.485922521424	87.0619268730171	8.91808316953927	134.30544796028	9.08372168691722	16.173258638316	295.483259463202	22.0489467328538	37.6157694428851	20.2998995719178
"I24h0.5c"	"Immature"	"24h"	0.5	"c"	697.959871667253	131.369902073784	6.48288621170803	117.83473566678	65.404651432185	140.880794712276	2031.71705559719	27.1905415569028	54.9923909145346	31.5287045674814
"I24h1.0a"	"Immature"	"24h"	1	"a"	493.52321339569	160.803379389561	1.42430173277105	101.106174071281	94.9884037243329	92.8769297934538	1285.84497559767	16.7753240130724	38.2219893251314	23.6768930358181
"I24h1.0b"	"Immature"	"24h"	1	"b"	655.527806722599	149.253385006508	2.86666167430281	91.0445355598751	49.640418173202	137.869051253571	1420.20804611115	22.2290477350938	41.8344238709067	13.6095278052047
"I24h1.0c"	"Immature"	"24h"	1	"c"	415.292770666421	114.414917871999	7.96366509634869	80.0490837806142	67.736145643392	173.116904482988	1689.20645653178	24.6530839791552	47.3852596660536	34.0235742536372
"I10d0.0a"	"Immature"	"10d"	0	"a"	8246.18702213575	130.166412091648	21.1224311486568	157.659086374811	55.141287369494	69.0357562839938	1050.83287866922	38.6903210924453	163.058351551224	33.2284007583929
"I10d0.0b"	"Immature"	"10d"	0	"b"	5663.70117882094	113.702212317646	22.084868816294	138.549407115547	39.7055829728724	83.8409103212451	1602.20148110576	49.2535174790216	191.886845150112	59.7576729011796
"I10d0.0c"	"Immature"	"10d"	0	"c"	7504.02650912615	120.262767569285	26.0481007395639	169.939199047684	53.4212864875806	85.4458787919715	1401.9713975661	60.0462430227842	161.690181585949	59.9355049232535
"I10d0.5a"	"Immature"	"10d"	0.5	"a"	7161.953936193	131.590864912812	16.5232550594781	153.034559041781	27.6528235846528	63.8606929375978	894.383568627496	33.5523204803451	138.035492515202	39.7511962690837
"I10d0.5b"	"Immature"	"10d"	0.5	"b"	4469.5327932979	99.8964144749877	9.99414078730224	126.788952939096	44.7083076070408	37.1661599697976	700.520140362491	35.1108969305614	126.966954367468	31.9735410084894
"I10d0.5c"	"Immature"	"10d"	0.5	"c"	5628.31115853571	115.412681977628	28.268576120327	184.211934797525	38.3802869022705	67.1022092886228	1157.6827651927	38.4612670666537	160.712639080442	41.7881053362005
"I10d1.0a"	"Immature"	"10d"	1	"a"	3410.5978102309	154.037184430964	13.1874648290123	146.167151691377	26.6214907992062	52.7545610108294	1025.9421490422	37.8687931797497	196.234481120759	32.9461524635796
"I10d1.0b"	"Immature"	"10d"	1	"b"	3836.3073683159	158.099506795263	17.130940199607	162.878122086395	30.2578581875677	57.0653945405864	1328.98048303806	45.5115839019992	190.020016235168	44.9016312962165
"I10d1.0c"	"Immature"	"10d"	1	"c"	3283.40288563532	144.301172458868	19.8857987117613	178.971452521981	24.7968681943297	33.3688740228374	791.016586626174	42.0932264414269	145.653239603792	35.5886177688909
"M24h0.0a"	"Mature"	"24h"	0	"a"	2071.71161656341	161.700475083085	28.0378109076449	152.304291375249	33.4662510316245	52.7058341846457	1103.28388061648	32.7342748797119	106.803016455306	35.0226444762081
"M24h0.0b"	"Mature"	"24h"	0	"b"	4215.47794140703	139.401381780053	25.8598381926886	151.77598304209	30.3464269226427	49.9848862647075	927.359997638478	34.1206128251309	133.176474881138	28.0302196707695
"M24h0.0c"	"Mature"	"24h"	0	"c"	3018.68089261289	56.9677985977492	52.356975414094	183.924173288362	29.7352530225195	50.5440549999056	1382.68163655253	47.2195696783742	171.116780090424	67.0917525328399
"M24h0.5a"	"Mature"	"24h"	0.5	"a"	2641.010863805	82.9841793446525	24.4038637161744	117.495772100863	28.8644223737023	49.9430297578452	1062.58143193773	23.0337540240858	126.432042472079	34.2014238995404
"M24h0.5b"	"Mature"	"24h"	0.5	"b"	1771.76535423124	180.252657456351	20.5217462717911	173.48731582952	18.8222133237983	29.1209838421918	1239.42710280638	54.6383128227658	133.874862809993	45.1328695916416
"M24h0.5c"	"Mature"	"24h"	0.5	"c"	2373.91819542754	148.995788759322	35.6878501481505	169.318335472111	23.3438152802585	38.8086266470967	1239.94968457569	28.2969136236615	124.421788601059	31.5297494817683
