"Sample"	"Maturation"	"Exposure"	"Dose"	"Replicate"	"D-(+)-GLUCOSAMINE"	"D-(+)-TREHALOSE"	"D-GALACTOSE"	"D-GLUCONO-1,5-LACTONE"	"D-GLUCOSE-6-PHOSPHATE"	"D-GLUCURONIC ACID"	"D-GLUCURONOLACTONE"	"INOSINE"	"L-ANSERINE"	"L-ASPARTIC ACID"
"I24h0.0a"	"Immature"	"24h"	0	"a"	1.56690925224857	12.6853399093818	15212.0676932665	368.328376751209	0.547901942924632	1.379890904955	87.9911459155615	1.59666362759223	0.553257168493613	4.20218118643693
"I24h0.0b"	"Immature"	"24h"	0	"b"	1.40131011344784	14.6882943780794	24776.0393738602	712.906101449609	0.504787411548878	1.18477713927711	223.027741622609	2.24372357530431	0.680649701024902	2.35273098881313
"I24h0.0c"	"Immature"	"24h"	0	"c"	1.41408244161215	9.03695151901052	19041.6451449249	472.416442870331	1.39135874254636	1.6894364993707	115.514559860247	1.97161062472437	0.794180833412629	4.01704624854512
"I24h0.5a"	"Immature"	"24h"	0.5	"a"	2.90442247586943	15.9568043753202	21305.7299616676	525.044833503196	0.547134755011602	0.654125134898662	132.928891003968	1.45715035843946	1.0444979457235	3.08540742842775
"I24h0.5b"	"Immature"	"24h"	0.5	"b"	0.614462257126026	12.2119910538409	16502.923561998	581.001249425541	1.55383877857745	0.93502632615488	161.039215375205	2.57338939569182	1.19420120784848	3.14700062289365
"I24h0.5c"	"Immature"	"24h"	0.5	"c"	2.17794372698802	17.4892802437623	23359.5997405217	959.920179978888	0.7747932589166	1.0540143930379	291.144443594072	0.601782223606164	0.514072443660057	2.068649541588
"I24h1.0a"	"Immature"	"24h"	1	"a"	2.13761080521654	12.2575457807267	20095.8382613705	592.093499409505	1.21926781717997	1.0652020664012	168.810625116238	1.6838648918992	0.623957405396541	2.3099839347582
"I24h1.0b"	"Immature"	"24h"	1	"b"	1.98037515068234	15.1757388367796	25714.315739466	532.42398793616	0.884586219908162	1.07469962288453	141.928395230768	2.26359564248167	1.24728505603779	3.33846987881566
"I24h1.0c"	"Immature"	"24h"	1	"c"	1.17197488806877	18.5890853146732	15806.2028486973	437.004927623082	2.16924877877239	1.38066385979093	98.5100428374569	1.8223495303144	0.92729993063141	3.024572796746
"I10d0.0a"	"Immature"	"10d"	0	"a"	1.63323752334644	9.5939045233028	21467.6183627777	602.521921829308	1.22598728940925	1.37242129459563	167.604251290638	58.5436041608649	0.874139496876275	0.988741734304559
