"Sample"	"Maturation"	"Exposure"	"Dose"	"Replicate"	"PHENETHYLAMINE"	"RETINOIC ACID"	"STEAROYL-L-CARNITINE"	"TRICOSANOIC ACID"	"VITAMIN K1 (PHYLLOQUINONE)"	"3-METHYGLUTARIC ACID"	"3-SULFINO-L-ALANINE"	"3ALPHA-HYDROXY-5BETA-CHOLANATE"	"5'-CMP"	"D-(+)-GALACTURONIC ACID"
"I24h0.0a"	"Immature"	"24h"	0	"a"	0	10.1790388747302	90.6889720404484	12.2542754912436	29.6244986077834	3.98447306957161	2.55695079090509	24.0105003378661	30.0910019493085	8.63591052851137
"I24h0.0b"	"Immature"	"24h"	0	"b"	0.789737873080162	7.04574096467511	67.6156066325535	17.9740829558946	38.0251372678742	4.74741027102613	1.41452461557161	21.2788700239434	23.2950906291158	7.79544798598802
"I24h0.0c"	"Immature"	"24h"	0	"c"	0.764841614549861	4.7991420053749	103.759128978772	7.96437984574181	26.8387538051413	3.96752139776012	1.7677431901948	21.7571702655516	48.4225814399602	8.57601276742095
"I24h0.5a"	"Immature"	"24h"	0.5	"a"	2.09879775157924	17.1599312311131	100.73570931343	22.5068080054483	42.8093885034347	4.60025348532546	3.57880526571288	19.8649346536039	29.224491084473	5.69515090968086
"I24h0.5b"	"Immature"	"24h"	0.5	"b"	0.259979820104857	6.75925673414049	79.9082252428844	14.3422015656332	35.227776227994	5.44103757643103	2.67928086063903	22.5287248202493	31.4809415190766	8.39954339793745
"I24h0.5c"	"Immature"	"24h"	0.5	"c"	0.8894513348967	4.70067838516684	109.828478884412	26.8090694644519	58.6435700419209	8.2550533916618	1.63471176107623	23.0109840404725	37.0735623645712	8.4227700251708
"I24h1.0a"	"Immature"	"24h"	1	"a"	3.37208940733033	3.71291960435921	121.330494095197	12.5152353558814	47.7984262328577	3.97878086066666	1.56523045719597	23.6337544867921	27.1206792575215	7.83949680902222
"I24h1.0b"	"Immature"	"24h"	1	"b"	1.18894379094906	4.30017464457039	88.1960132720934	18.3937698180272	34.84992379353	6.1395675947665	2.70926051732735	22.4933807665277	29.6985854037614	6.96325111476018
"I24h1.0c"	"Immature"	"24h"	1	"c"	0	16.8964841294272	134.263420507689	22.0542750576242	44.052867128102	5.90957890972005	3.43124261163712	23.5534428310771	68.4234230355781	7.44226310162652
"I10d0.0a"	"Immature"	"10d"	0	"a"	4.86735227043082	10.2871434584486	1253.168475771	8.53563452505575	42.7640558127127	11.9174572550603	18.5974174935064	21.9128394534949	75.2032296366393	6.16680835022146
"I10d0.0b"	"Immature"	"10d"	0	"b"	2.01223542605974	19.8068692296893	1193.39662434138	24.5730271442486	47.3073784704682	14.9369381090899	14.6820243470685	26.2791333492076	89.4684987104	10.649330892723
