"Sample"	"Maturation"	"Exposure"	"Dose"	"Replicate"	"D-RIBOSE 5-PHOSPHATE"	"EICOSAPENTAENOIC ACID"	"FUMARIC ACID"	"INOSINE 5'-MONOPHOSPHATE (IMP)"	"L-2-PHOSPHOGLYCERIC ACID"	"L-CYSTEIC ACID"	"QUINIC ACID"	"THYMIDINE 5'-MONOPHOSPHATE (DTMP)"	"URIC ACID"	"URIDINE-MONOPHOSPHATE"
"I24h0.0a"	"Immature"	"24h"	0	"a"	40.2220291448614	9.31152927834101	16.0426040520881	380.642461253837	31.0116244139698	195.481143697418	4.92092063945451	29.3828769582828	0.214647521314014	5.21203154020176
"I24h0.0b"	"Immature"	"24h"	0	"b"	26.8002076280792	9.21423471711983	14.2840253032822	441.873135744128	28.0811983022323	196.583408396584	4.46967048751636	43.7922383015925	0	2.96812881173548
"I24h0.0c"	"Immature"	"24h"	0	"c"	46.4677303060623	19.9163286264418	19.4123043445878	638.445442270032	43.2616426516846	262.214344247921	6.999064012042	58.7491612951349	0.268804964708825	15.8123099407846
"I24h0.5a"	"Immature"	"24h"	0.5	"a"	33.2604597170833	8.48699751654373	12.133783769599	509.269550597364	42.8057167196642	292.044265952068	9.27894794610375	46.0106593682378	0.230164269577291	4.07729160410494
"I24h0.5b"	"Immature"	"24h"	0.5	"b"	38.8815966586873	8.32592456891245	12.72470090524	483.946476135323	31.5405441627863	220.099569930149	6.90499756981719	40.3646674843482	0.00210096708883065	4.93630060435561
"I24h0.5c"	"Immature"	"24h"	0.5	"c"	46.9538848830672	14.5732128892879	18.9644222289631	694.744204365229	34.236579252937	262.179339416558	6.6303292045807	50.962042869624	0.161521272544431	17.1000810532658
"I24h1.0a"	"Immature"	"24h"	1	"a"	30.0465900571925	16.7725329743409	11.6501734041923	390.322071932742	30.4521426018431	167.329132325417	3.70860399435163	43.0483240660847	0.259802343665426	4.91434748471707
"I24h1.0b"	"Immature"	"24h"	1	"b"	28.6159080911783	9.7608501141668	16.5837657144521	368.400212381155	32.1593589692233	239.252389079435	5.47654759960931	46.0652245809122	0	4.04778420886478
"I24h1.0c"	"Immature"	"24h"	1	"c"	64.6472719490556	8.63767964123405	19.7509898239031	707.337157048976	56.4144294117439	380.33072455098	9.72731773433144	48.6253965803109	0.675152618694547	17.2684012787555
"I10d0.0a"	"Immature"	"10d"	0	"a"	76.6793119954637	55.1780187693348	22.2076074849176	1411.01944598665	38.4692783929474	947.169470376259	6.38958638329546	64.8674543731853	0.17785991388637	58.0305191324539
"I10d0.0b"	"Immature"	"10d"	0	"b"	86.9125443471872	15.7946493205153	31.530486062302	1750.31663950516	40.2678247526326	1101.77391739058	5.59825152175969	100.965454738513	0.97628527060454	78.7536138155659
"I10d0.0c"	"Immature"	"10d"	0	"c"	122.598159457517	12.5508128332666	38.7649508898966	2199.84215337194	48.7123168608106	1536.73944966541	10.3770098806518	98.2258091173314	0.109985868030664	101.921527468688
"I10d0.5a"	"Immature"	"10d"	0.5	"a"	68.9920982996294	33.3836224989479	23.5160199150449	1305.0076009292	29.0619036654427	743.744423484006	6.9012318353737	61.3658039315451	0	37.3717110910603
"I10d0.5b"	"Immature"	"10d"	0.5	"b"	78.6694916770207	12.9258973363417	17.6915042699185	1212.42686904019	32.9555503661206	660.52818168256	5.15446361703028	47.7978652702995	0.447086523217215	30.0373342916236
"I10d0.5c"	"Immature"	"10d"	0.5	"c"	101.122353200029	24.6073741124925	29.88303939747	1806.65077337209	34.5748562097315	888.287265111324	8.0012031772249	93.4361426357308	0.012897040697578	51.8916211813038
"I10d1.0a"	"Immature"	"10d"	1	"a"	68.2368594478272	15.9660872312317	16.7866558489359	923.815347563316	32.2645189419089	426.458659846934	5.51300708829276	49.3076002104728	0.720014488336505	20.3343432052952
"I10d1.0b"	"Immature"	"10d"	1	"b"	71.9732027572144	19.5500833247961	23.4732199212681	1025.39472211703	34.0414912592213	569.529148583229	6.37572662937611	43.6816648715302	0	18.5303825793486
"I10d1.0c"	"Immature"	"10d"	1	"c"	94.9528600236587	26.3415836675122	16.3235003766544	983.266331831326	35.2094144676176	537.377628174199	4.27596799456233	47.1171803249727	0.471062652145699	20.3652325326852
"M24h0.0a"	"Mature"	"24h"	0	"a"	73.4225343125957	15.2871209179835	26.1724481596753	5120.41821526223	33.9963030578478	170.572389765578	4.7320557055964	21.9817950918881	0	4.88469859909626
"M24h0.0b"	"Mature"	"24h"	0	"b"	90.614914009372	12.8674277560175	25.7999495330598	5416.09884489033	36.9044386713927	185.107425439642	6.17200771374041	26.1260064515398	0.199333128234464	7.51627287115296
"M24h0.0c"	"Mature"	"24h"	0	"c"	96.7805876143691	7.83707202196716	29.8713968495436	5076.86146564292	26.9294083654532	169.387715322922	5.6314867340175	27.8282885984039	0	8.99061115719879
"M24h0.5a"	"Mature"	"24h"	0.5	"a"	72.1882274035955	14.4453302161753	25.2279985997445	4819.01661277019	27.9422206274574	140.527280478319	3.457773322148	27.8631872284545	0	7.3674022757751
"M24h0.5b"	"Mature"	"24h"	0.5	"b"	61.2490106228197	10.8511060732618	16.7673271076235	4068.16903834203	35.3230315538164	112.456969592315	4.60165862623175	23.3816067505665	6.81374965254633e-05	4.80579102229448
"M24h0.5c"	"Mature"	"24h"	0.5	"c"	73.9087164581985	12.6413853310425	23.4562315338637	4741.0296119956	19.8925532939754	115.997693697882	2.75407418587202	28.6035168471726	0	6.55212862756571
"M24h1.0a"	"Mature"	"24h"	1	"a"	67.2449967381041	10.3493797157514	13.6916495044718	4167.15768949675	31.0984727915878	114.95647813506	3.29990676167912	20.7963590258265	0	4.13169557500727
"M24h1.0b"	"Mature"	"24h"	1	"b"	67.90833635265	8.23757942747674	18.457735933275	4110.34031810458	18.566301423765	105.525980521095	2.68541291034304	17.0880167556045	0.350602627547485	3.59959510073417
"M24h1.0c"	"Mature"	"24h"	1	"c"	71.3991583425948	6.70431405345641	24.0534210468658	3904.02593427171	22.7243664401406	126.26747827332	5.25927316865075	17.519335155643	0	1.95099340354912
"M10d0.0a"	"Mature"	"10d"	0	"a"	104.039576653411	21.6908936363895	28.9341741150985	1021.48697408506	11.972438627086	87.0387280218364	6.13921186900699	16.0762142250673	0	5.33287612508009
"M10d0.0b"	"Mature"	"10d"	0	"b"	178.001177167774	8.50706075017525	40.5399764896824	864.821286524739	11.7822981393718	48.4576187117363	4.08167665413569	11.1091446902626	0.159134546593004	2.69318677272601
"M10d0.0c"	"Mature"	"10d"	0	"c"	273.982166640105	14.5878321560611	47.3086053119552	2620.45041955713	14.1892269641207	138.057323876642	5.52162714707832	22.7808464910497	0.00413556251440393	6.10777743017387
"M10d0.5a"	"Mature"	"10d"	0.5	"a"	167.738046273662	8.70892060786642	26.2527547468635	2292.74801690288	11.1438528320255	56.3514867423874	5.33129178702338	13.4073774779548	0.275728122967813	4.56899380943318
"M10d0.5b"	"Mature"	"10d"	0.5	"b"	232.248386215658	8.87321262356812	32.7001808873604	2680.1440403926	14.8296438611048	88.5114884578588	8.04070177882777	14.0151684619795	0.0318323785580106	4.72457964274306
"M10d0.5c"	"Mature"	"10d"	0.5	"c"	216.284337770793	10.7531910331122	32.5025999313778	2372.2528514233	12.6944592359856	82.9924259198836	6.59106852724288	18.2513893306897	0.154381400728338	4.29572636473753
"M10d1.0a"	"Mature"	"10d"	1	"a"	95.559802845111	11.1367551482944	16.1935640543674	1797.97742572624	6.06926865512831	32.2818097867622	2.47928778222986	15.0508667787402	0.462415952325742	3.93338073731532
"M10d1.0b"	"Mature"	"10d"	1	"b"	191.508905116998	9.58826637631762	18.0296707113556	1701.07451164906	9.96460279134986	52.262467818192	5.97579242231008	12.8057627369047	0	1.36191869729414
"M10d1.0c"	"Mature"	"10d"	1	"c"	222.564580738791	12.4892600245811	19.6972816950167	1054.44780393826	9.98424328170829	64.6387379773773	8.74269340766767	12.4604958856993	0.4436803991068	3.69734021425617
