"Sample"	"Maturation"	"Exposure"	"Dose"	"Replicate"	"5-AMINOPENTANOIC ACID"	"ALPHA-KETOGLUTARIC ACID"	"ISOCITRIC ACID"	"L-CARNITINE"	"L-CYSTATHIONINE"	"L-GLUTAMIC ACID"	"PHOSPHOCHOLINE"	"S-(5'-ADENOSYL)-L-METHIONINE"	"URIDINE-5-MONOPHOSPHATE"
"I24h0.0a"	"Immature"	"24h"	0	"a"	38.2212291210231	6.59703264079705	8.73737686849197	1836.27635999038	37.2987701366353	1498.85668854995	8389.19688150715	46.9979876624636	334.138644884997
"I24h0.0b"	"Immature"	"24h"	0	"b"	28.38534527236	8.20112366472965	11.0714608052806	1821.907447755	32.8209913145811	1357.89801811994	8003.11765672661	72.208687270745	302.018927843079
"I24h0.0c"	"Immature"	"24h"	0	"c"	28.7305310967322	5.12629388417284	11.1395401736319	2141.44912934259	57.7497723545931	2080.21676644828	11610.3213617088	151.320205188978	516.560759493657
"I24h0.5a"	"Immature"	"24h"	0.5	"a"	23.719503670311	7.35232884085324	7.78201534863784	1777.3865648902	56.8317431183657	1817.67130822189	10894.1937854928	164.071141792757	305.862242219783
"I24h0.5b"	"Immature"	"24h"	0.5	"b"	29.339677821057	6.44345538952662	9.52673315318781	1714.41152135778	50.7642931051537	1349.14280905939	8898.88947048976	62.7181353037599	310.354914809664
"I24h0.5c"	"Immature"	"24h"	0.5	"c"	35.3931570366179	8.49688105739728	13.541271643082	2361.40456417633	71.976436449297	2214.06207131415	12091.4579128147	141.968148259795	540.783315486462
"I24h1.0a"	"Immature"	"24h"	1	"a"	35.6123681230183	10.209860479452	13.7249335180625	1917.31289824907	40.0897982781438	1421.10225987328	8706.14656271485	60.8451352982158	330.986882539825
"I24h1.0b"	"Immature"	"24h"	1	"b"	27.0441791732495	5.07261466737801	24.6049342108658	1830.9925312676	59.158839963077	1661.89176044087	10342.9438285638	159.104789321707	357.740759071248
"I24h1.0c"	"Immature"	"24h"	1	"c"	40.0302055952925	8.86145884575283	11.0297042925735	2092.32325932063	55.3582184164189	2505.00337292477	12598.7189514104	133.525350117475	624.707669326701
"I10d0.0a"	"Immature"	"10d"	0	"a"	72.2438642488833	8.00186910940048	9.82485603591361	1478.15018001426	178.559254373429	1361.78035983275	7771.63028119048	47.5732590782901	889.946072033729
"I10d0.0b"	"Immature"	"10d"	0	"b"	71.3856005904789	7.98266425183277	12.9955281730256	1895.64905469199	239.258442754164	1692.43132731115	9106.35653291849	59.4065074095027	1043.55621666308
"I10d0.0c"	"Immature"	"10d"	0	"c"	72.970793741088	5.12101695894054	9.85464750522659	2023.47504976413	295.361626184798	2187.05121925573	10268.8965947158	71.222059523883	1023.53799177042
"I10d0.5a"	"Immature"	"10d"	0.5	"a"	73.3878482201011	5.7484299374361	13.1149625122862	1268.27127168118	250.079228924206	1231.8592865909	7270.06904378421	49.2747266354412	789.963298075785
"I10d0.5b"	"Immature"	"10d"	0.5	"b"	65.6212628856058	4.68607249872264	5.49046147673197	1230.97983535533	249.7521462686	1486.84232639637	7817.47677176359	90.984799674486	682.932665704882
"I10d0.5c"	"Immature"	"10d"	0.5	"c"	67.6880104599082	4.88904064621678	8.48731597342478	1558.3908040217	241.13367407825	1390.8070921411	8112.50122854298	49.112586760564	887.442488169438
"I10d1.0a"	"Immature"	"10d"	1	"a"	67.1146261989432	6.36807598579075	9.25489932274958	1135.74873530698	202.869575861005	912.416206805491	6066.03046699381	27.5269093458698	665.415088223189
"I10d1.0b"	"Immature"	"10d"	1	"b"	70.3918842503403	7.20885979557431	8.77694607106027	1288.75443765953	254.230922606268	980.534805204403	6119.26713913142	32.5941812554112	710.752295366374
"I10d1.0c"	"Immature"	"10d"	1	"c"	57.870370568518	6.65229024114512	5.40145799177556	1091.47604041008	222.060368527262	897.418633779914	6283.05132204268	32.1317143505783	684.239326756443
"M24h0.0a"	"Mature"	"24h"	0	"a"	30.5332744578071	7.85245456952655	10.0446105936365	2007.38502496938	229.082378098167	1149.34045029915	4897.02730306596	81.7791392304698	434.490227321771
"M24h0.0b"	"Mature"	"24h"	0	"b"	47.4602704933145	9.13340017914396	9.92790005289408	2033.84701782079	245.863319935986	1451.27811507438	5361.86469620704	99.8671947662151	401.748555110127
"M24h0.0c"	"Mature"	"24h"	0	"c"	30.3822969783432	5.63576348290246	9.29177105466368	2072.63058524106	299.750791337901	1526.59369757169	5523.14082159858	152.627843167	382.7433034248
"M24h0.5a"	"Mature"	"24h"	0.5	"a"	31.0520741652633	9.06799707850235	11.8613278078455	2042.16295717392	238.074816538539	1160.41337626989	4875.2516534115	73.6156605701954	437.190275408723
"M24h0.5b"	"Mature"	"24h"	0.5	"b"	30.9006725631548	7.71116601367028	11.9902490547546	1610.46810997098	128.802894714505	852.960903365955	3926.78971779887	56.6172024799472	309.875558431079
"M24h0.5c"	"Mature"	"24h"	0.5	"c"	34.5936181039283	7.49885134507786	9.48387877454619	1834.24870551479	166.532783623466	986.144937817891	4397.8564470465	58.1710341122662	330.520371696478
"M24h1.0a"	"Mature"	"24h"	1	"a"	28.627705563969	7.39791731707345	7.61085826915152	1513.96058749715	99.9188406398421	644.316741604039	3542.26917760939	31.0166815435114	307.479955780834
"M24h1.0b"	"Mature"	"24h"	1	"b"	27.4557677671939	7.77212429284777	7.83468808698177	1739.03490793245	165.078827118871	932.076040753949	4254.68502243462	64.3936418863326	313.581693720328
"M24h1.0c"	"Mature"	"24h"	1	"c"	31.1332893853923	5.63641624946689	6.43306500829092	1714.69997893319	239.935605446731	989.057342006042	4287.54612568225	112.36958873718	266.149237034837
"M10d0.0a"	"Mature"	"10d"	0	"a"	32.9020380474386	4.36741076184127	13.5377361590143	2077.78799377829	713.31894250617	1421.34769821195	5094.86408118944	159.930998573209	339.014104527171
"M10d0.0b"	"Mature"	"10d"	0	"b"	27.0756538561528	5.23890528833547	12.4271082685632	1826.05435608039	407.023550133183	1139.33698489925	4781.1275397391	50.2890417213164	128.705710482748
"M10d0.0c"	"Mature"	"10d"	0	"c"	50.2167394436736	1.76435030815939	18.2468724713719	2718.04219066184	337.816426924111	998.549600585873	4525.44966550593	25.6651051364034	299.550508386245
"M10d0.5a"	"Mature"	"10d"	0.5	"a"	34.7701954114076	4.49861326764044	6.51251605757884	2027.10841891653	426.437523209516	950.667244142289	4555.63595975467	33.8554483895597	269.377038104354
"M10d0.5b"	"Mature"	"10d"	0.5	"b"	40.5023815652474	8.16410250834022	15.6007678577211	2512.81191793665	523.042499983572	1328.27840294403	5496.06095453441	59.5582491753003	290.194162619489
