"Sample"	"Maturation"	"Exposure"	"Dose"	"Replicate"	"L-GLUTAMINE"	"L-HISTIDINOL"	"L-SORBOSE"	"L-THREONINE"	"L-VALINE"	"MELIBIOSE"	"N-ACETYL-D-GLUCOSAMINE"	"N-ACETYL-DL-SERINE"	"N-ACETYL-L-LEUCINE"	"N-ACETYLGLYCINE"
"I24h0.0a"	"Immature"	"24h"	0	"a"	5580.36088528426	7.90152372550761	1.65564329437728	520.91646523758	150.874607022411	100.842904532118	2.47536293863599	8.96009844617368	27.1097762454716	38.3621246388687
"I24h0.0b"	"Immature"	"24h"	0	"b"	4475.30370323457	9.5437255230223	1.79202542756874	380.158793170947	142.293979261909	156.599996556834	4.71269104088958	14.4949134091796	14.4369888961898	37.9594756024384
"I24h0.0c"	"Immature"	"24h"	0	"c"	5954.34095360182	15.0611608035383	3.59938767339515	639.701689057001	240.23640116575	116.461925840428	3.78301212887668	14.6974793735643	34.364950926339	42.998699550954
"I24h0.5a"	"Immature"	"24h"	0.5	"a"	5218.30443587635	20.8293608817471	2.40701784794449	493.002943388491	176.133419689572	148.333211148029	4.82351107581763	10.2128706385981	33.7213686332929	33.28600367041
"I24h0.5b"	"Immature"	"24h"	0.5	"b"	4749.81473301912	8.02236487262863	3.21642357922552	488.316832340228	131.161524191699	98.0087895390238	3.81622640450962	10.0639273097249	17.5079695575531	49.1090459308669
"I24h0.5c"	"Immature"	"24h"	0.5	"c"	5565.34540126457	31.1016620716242	2.95579460599791	724.884779375771	241.350834828826	130.518501506697	5.01269529904268	22.3608000177495	27.9778255159463	43.8588665662849
"I24h1.0a"	"Immature"	"24h"	1	"a"	4636.57327845614	21.7858073520683	1.63167773747113	490.509430217127	153.810431689606	108.471305384567	3.2190280067786	12.588278905275	17.6739490155584	42.2446051451523
"I24h1.0b"	"Immature"	"24h"	1	"b"	5396.58003700978	18.4101435553204	1.90748470037342	421.003749788381	190.20405132208	162.673635674426	4.73360249371937	13.9611032319779	22.7012135896662	40.6828093000911
"I24h1.0c"	"Immature"	"24h"	1	"c"	6014.14926643082	13.9131864221191	3.34793310898598	724.320169414037	224.682360722868	103.997346861084	4.710614070373	9.25637631032665	26.8503577311578	41.4659199107392
"I10d0.0a"	"Immature"	"10d"	0	"a"	5172.19072701073	8.01438083497514	2.32991355624589	173.994588503765	125.07497865042	95.7540561418026	3.81222713316146	13.8807248835229	52.4100410250541	27.504704981994
"I10d0.0b"	"Immature"	"10d"	0	"b"	6856.86999176909	10.4509921316413	1.81258846362642	281.240210319134	222.784672052317	152.815688684714	8.35831744993285	27.0157786124061	64.8178008994975	30.8550565408161
"I10d0.0c"	"Immature"	"10d"	0	"c"	7519.45002003841	8.30826295061999	2.71312667201861	452.281677500244	207.63246178392	122.370123546407	7.24244172011201	26.0458644230104	64.7860649855882	40.8794799787409
"I10d0.5a"	"Immature"	"10d"	0.5	"a"	5525.86611669994	10.2090291683869	1.90350371260453	152.042042829835	144.795691263188	128.433892237857	5.52793798650528	11.6760788162537	51.9175732260688	30.5526192578064
"I10d0.5b"	"Immature"	"10d"	0.5	"b"	5143.65758434106	4.67128709015975	2.14320389764674	147.869113170897	102.352518914494	120.92880860357	4.92642434315363	14.6735376609686	37.0072485025674	27.7136248628213
"I10d0.5c"	"Immature"	"10d"	0.5	"c"	6158.31591190461	4.57043759803159	2.4556055944577	230.550496046713	157.765311548869	105.875036933231	9.1882725755631	15.3626443684648	54.6300287709244	42.2702865876726
"I10d1.0a"	"Immature"	"10d"	1	"a"	4941.12956537097	5.37868671285005	4.32394448125195	16.4034180213557	98.8914126257299	168.589108444918	5.29216645959084	5.83687706347629	37.4082161345988	20.4106650062
"I10d1.0b"	"Immature"	"10d"	1	"b"	5952.65309178319	6.32844836641105	2.78468169673184	262.70562525365	125.636437940732	171.397934638016	3.63272946573053	15.1344432058374	38.6407486214793	33.585897406907
"I10d1.0c"	"Immature"	"10d"	1	"c"	4271.83599037475	3.91216803575521	2.10696967887752	123.321359142853	98.0847016085812	120.629630187067	6.13348608474496	15.9784080042983	31.3828687457269	32.2399697355462
"M24h0.0a"	"Mature"	"24h"	0	"a"	4556.08842311232	3.25214292010977	2.58202721608639	137.279832549189	133.090826224553	233.943277079107	5.10650863220631	5.39131364978868	86.1399292453365	25.461284859177
"M24h0.0b"	"Mature"	"24h"	0	"b"	4114.37967210088	1.76834161187399	2.44783214040642	39.8659166418947	131.784233494051	145.031599274571	7.52704913520352	11.4405123422233	78.9323294728021	30.0215552101897
"M24h0.0c"	"Mature"	"24h"	0	"c"	5087.09075454892	2.16033266815753	3.43598799452472	212.110791735927	131.733924633431	167.464756885343	6.95241961575794	18.9438387889542	88.1292849155729	32.5300032507145
"M24h0.5a"	"Mature"	"24h"	0.5	"a"	4536.80059637511	2.79409974196199	2.97838590619277	21.7596120788696	114.956272491238	196.070867115579	7.95130115126693	13.6944957061606	88.6003340788692	24.2173288066172
"M24h0.5b"	"Mature"	"24h"	0.5	"b"	3612.15919713199	1.55339523590936	1.70469924593113	53.0750292544689	100.336475886042	172.547809156398	8.07668736785917	10.5689718065367	70.3914368371606	21.1482585911855
"M24h0.5c"	"Mature"	"24h"	0.5	"c"	4286.37708670038	2.53527630174714	3.65091614248523	91.1084328688995	115.961767849757	170.638729941091	7.95246574287792	19.0726997899361	86.2597988458336	34.5419501899664
"M24h1.0a"	"Mature"	"24h"	1	"a"	3866.69305842031	0.831803731505477	1.68042014245291	81.6189843659969	101.266289268158	234.236827868567	6.87206129827802	8.4139245907157	65.4686662111145	21.739242607021
"M24h1.0b"	"Mature"	"24h"	1	"b"	4289.27685311778	2.16901418639635	2.72830701263423	99.7572851746046	106.141838873246	191.644485505175	6.10181561935361	9.86123705253903	74.3519486007344	25.0797623564083
"M24h1.0c"	"Mature"	"24h"	1	"c"	3130.36585174901	1.27925491950775	1.38224791634216	34.3982147421913	80.1954711798247	166.545587169989	9.96865446750351	14.8440675784178	55.4983714975253	20.7691256775276
"M10d0.0a"	"Mature"	"10d"	0	"a"	4056.74113686254	4.20725327580634	3.72656061320266	23.3450963976614	102.246954679309	111.269574430771	5.37812462818487	15.9344345886617	54.0975784770857	26.9531017251214
"M10d0.0b"	"Mature"	"10d"	0	"b"	2786.7018719906	0.527933472615975	1.2180936656163	33.2745796558721	99.7938623651657	120.235727010547	3.68706823264608	10.1191464356873	36.3461530741321	20.6559369966213
"M10d0.0c"	"Mature"	"10d"	0	"c"	4923.04957516376	1.31298881959164	2.98713731433858	20.4244630391037	132.593311928365	99.4462378528019	5.19171428956723	12.0898739360436	69.7941420365486	26.0540304955555
"M10d0.5a"	"Mature"	"10d"	0.5	"a"	3977.34860828717	1.0237074719668	3.61182777629801	5.16974931257017	110.359649299902	127.031752613116	3.51228917194843	10.8300094499877	46.3135931264033	24.3646023757402
"M10d0.5b"	"Mature"	"10d"	0.5	"b"	4230.21888458296	2.0809785393559	2.15342261978794	7.10745034230108	115.358501239947	110.440758482941	5.89337870172027	10.4628919616077	63.5437633166084	21.2059712709152
"M10d0.5c"	"Mature"	"10d"	0.5	"c"	4411.73633360881	1.94011630365836	3.61139201431052	14.5196384297864	118.323205496093	108.719827432413	4.37903776057906	8.325105981928	43.1180967475805	20.3340515415809
"M10d1.0a"	"Mature"	"10d"	1	"a"	3724.75151854969	1.34503558372003	3.43944593946377	3.21122820511301	65.723185822584	185.075361183049	6.61907739161064	6.11051400255301	42.4730271707316	21.6939772728778
"M10d1.0b"	"Mature"	"10d"	1	"b"	4819.0615276475	2.15621686319928	2.67614231734548	3.42762671231363	103.141121297814	130.886862887915	4.10561709150755	12.4433318166175	55.7075470030952	22.3967682317214
"M10d1.0c"	"Mature"	"10d"	1	"c"	4529.45362718799	1.40298964018133	1.86820729419311	2.69071304786184	75.2790426024089	116.077199691025	5.47832262075406	10.7720838270547	45.1080778670828	34.6175911596941
