"Sample"	"Maturation"	"Exposure"	"Dose"	"Replicate"	"N-ALPHA-ACETYL-L-ASPARAGINE"	"PALATINOSE"	"PANTOLACTONE"	"PENTANOIC ACID"	"SUCROSE"	"TAURINE"	"THYMIDINE"	"THYROTROPIN RELEASING HORMONE"	"URACIL"	"URIDINE"
"I24h0.0a"	"Immature"	"24h"	0	"a"	13.8320239184466	9827.15436546485	1309.92349253699	3.46390475151299	116991.053026163	1759.12482262637	25.7040382505406	1.75951130174688	13.1998469900131	813.511767779554
"I24h0.0b"	"Immature"	"24h"	0	"b"	25.8723621941133	11398.0660509281	583.956633414988	2.41558128022059	179360.782350392	1738.47451072299	38.3941490208754	4.88872530404558	14.2750706507959	95.0760725531494
"I24h0.0c"	"Immature"	"24h"	0	"c"	17.4509349631653	10485.6252421193	685.837532450941	4.56762619990588	134446.352767887	2132.55915223142	27.757171162429	4.87351143223845	15.485707025981	186.481788637536
"I24h0.5a"	"Immature"	"24h"	0.5	"a"	15.029619112805	10776.0608801949	684.807598654939	2.33373844143197	155187.839035512	1944.20266506351	35.1303634284602	4.08786188993806	12.8609888143308	123.982995900454
"I24h0.5b"	"Immature"	"24h"	0.5	"b"	28.1163018057756	9961.96689555254	588.617760375073	2.44807833309928	125017.386193502	1823.09963802824	30.3592324208614	7.4940162456521	14.5234104304284	580.227767522447
"I24h0.5c"	"Immature"	"24h"	0.5	"c"	23.4177741702036	11108.2218057211	818.533636887973	3.54744190140321	164385.700805132	2351.25949714399	44.0725485720927	10.4610268090272	21.7197601859683	137.970300892683
"I24h1.0a"	"Immature"	"24h"	1	"a"	20.75423562708	10521.9663909973	642.616776003244	1.58816697739721	148915.903476278	1859.96099617124	43.3092940859501	5.20370407574543	14.7967368284192	96.9494856742032
"I24h1.0b"	"Immature"	"24h"	1	"b"	17.8018782727504	11774.4119172356	648.589067379083	1.77714718964457	183436.301954729	2033.87729936059	27.1893107168891	1.69719525586177	10.3458379681518	117.57097843544
"I24h1.0c"	"Immature"	"24h"	1	"c"	12.7325152635479	9888.66688013665	702.874401535639	1.87425896574378	116343.866994602	2275.7183809392	10.6974678615481	1.33369129033583	16.3911041160836	1233.93325470376
"I10d0.0a"	"Immature"	"10d"	0	"a"	34.9550440160867	9693.46475302371	568.517648732847	3.03627292641077	130935.225433756	5975.61019525139	114.218939338298	4.45934217266793	52.8212874942276	437.045868009165
"I10d0.0b"	"Immature"	"10d"	0	"b"	69.9382725846309	10704.6870764408	967.57892222707	5.13267767715211	157367.451096178	7038.77663235881	198.632154606032	11.3437737012567	62.4779126206989	588.628464680463
"I10d0.0c"	"Immature"	"10d"	0	"c"	76.4024505815021	10227.8875903238	755.688661100159	4.11426043049915	144034.997384192	7198.26029078568	173.19645024457	21.1137809353446	70.2814885124899	795.070207096822
