"Sample"	"Maturation"	"Exposure"	"Dose"	"Replicate"	"XANTHINE"	"1-METHYLNICOTINAMIDE"	"1,2-DIPALMITOYL-RAC-GLYCERO-3-PHOSPHOETHANOLAMINE"	"3-HYDROXY-3-METHYLGLUTARIC ACID"	"4-AMINOBUTANOIC ACID (GABA)"	"4-GUANIDINOBUTANOIC ACID"	"5-METHYLCYTOSINE HYDROCLORIDE"	"5'-METHYLTHIOADENOSINE"	"ACETYLCHOLINE"	"ALPHA-D-GLUCOSE"
"I24h0.0a"	"Immature"	"24h"	0	"a"	6.65400384597928	83.0376876922805	649.187313804963	20.1171162654318	131.619896441735	87.2228794467866	12.0526294511688	2894.81381446322	0.902297552647556	16171.0223682021
"I24h0.0b"	"Immature"	"24h"	0	"b"	9.71008939534426	95.5281963246521	113.110820375026	69.3273330337994	121.713381357139	110.124610926508	109.643195796596	3448.70609519306	44.7228420138595	29804.4054027123
"I24h0.0c"	"Immature"	"24h"	0	"c"	11.9682226353167	114.193086191968	342.028025878844	30.1290986953635	152.414222714121	114.404551415727	19.1335972785931	3386.48072845767	21.4341073552865	20575.6010663647
"I24h0.5a"	"Immature"	"24h"	0.5	"a"	10.7607114488184	113.398939204894	411.939702706223	41.6893880738805	133.502534689649	103.713249610415	55.3658443182341	3432.44626089791	31.0152176683692	22805.9585511476
"I24h0.5b"	"Immature"	"24h"	0.5	"b"	12.4793975739561	24.6215081393339	595.490013063171	45.3288015828192	7.07530252591294	11.2705951105958	142.318304190495	3913.59301616147	26.2014887936777	185.666705687854
"I24h0.5c"	"Immature"	"24h"	0.5	"c"	13.1199818952579	133.537943220422	99.8864646707742	63.3391341075683	195.87541935081	151.004734513504	169.344168305034	5055.18120673825	49.6464025501003	31066.625876811
"I24h1.0a"	"Immature"	"24h"	1	"a"	8.3400273317347	91.9536116258387	416.355369278263	58.6252256921372	143.873442502968	130.385714517815	196.60722647158	4479.0786320178	62.9591908371536	26443.7034777424
"I24h1.0b"	"Immature"	"24h"	1	"b"	8.65618618396119	95.4507721901989	159.762564212835	40.8898299017853	122.170408744678	102.600872873722	24.5414884899395	3003.91642906258	28.8627968949886	22671.4397060637
"I24h1.0c"	"Immature"	"24h"	1	"c"	18.4288139863152	98.7110046889522	379.386385040816	31.3827123167647	145.176546017021	110.902977566432	21.4256899800978	2451.57286674239	3.81091583558476	18719.2941746332
"I10d0.0a"	"Immature"	"10d"	0	"a"	29.7512711549898	257.809963009957	509.924211477711	43.1337348067832	221.964800330899	379.77656426063	66.4154993898968	2052.22865052753	39.7868781801527	23726.0964378324
"I10d0.0b"	"Immature"	"10d"	0	"b"	51.2067173120191	252.90449856253	169.278819453993	42.3748326512827	224.701671760552	502.693050149599	93.7436387074628	2223.72676802635	89.7163280720915	24911.6780858801
"I10d0.0c"	"Immature"	"10d"	0	"c"	68.9105418973079	259.267190935947	250.481148424813	41.5831826456648	270.513403258587	560.844406661501	203.653106017057	2270.37793959589	92.9468835226643	26177.6226710654
"I10d0.5a"	"Immature"	"10d"	0.5	"a"	32.5570707383837	152.160313794435	185.906123836481	37.9865457281425	118.233932731467	221.461955602091	23.8066876862065	1819.64049630447	56.3979939556637	20707.0134451609
"I10d0.5b"	"Immature"	"10d"	0.5	"b"	29.1118924206054	110.775796569881	473.851519011953	45.2929089714032	130.294683058001	214.802272023246	99.2103225079807	1526.03957312415	32.1674068778256	22366.1398413315
"I10d0.5c"	"Immature"	"10d"	0.5	"c"	61.8602709908212	175.244459918942	248.834417957821	36.9711908340341	179.040206280541	357.71133423151	72.0192519204362	1678.23209792896	56.4251419624724	23230.5878340284
"I10d1.0a"	"Immature"	"10d"	1	"a"	33.2040911358048	73.9166141459765	66.9544297868874	52.990646348972	43.6769308392171	122.337224588424	16.6365859696602	1190.06561944486	22.3654554257961	23592.4875018029
"I10d1.0b"	"Immature"	"10d"	1	"b"	50.7627589180274	71.2217222516842	58.2731264935492	73.9577474697721	56.103872379045	215.064582319806	47.2065672394617	1759.57941004746	8.0225862600579	30679.0632969549
"I10d1.0c"	"Immature"	"10d"	1	"c"	48.6918802908693	56.272761388712	128.026178413901	71.2924712283773	44.0253702961305	147.547362723391	97.9775398047708	1722.34862822614	13.7280238181375	27806.6250574513
"M24h0.0a"	"Mature"	"24h"	0	"a"	63.3866352684066	194.586477222619	44.8300573265334	36.4112649187118	206.495590212561	359.032566031845	15.2506273852716	1987.48255423143	12.5313206876192	27183.8713184854
"M24h0.0b"	"Mature"	"24h"	0	"b"	73.4374172200238	192.945248616098	168.619392382388	44.0453561642762	255.060841520325	343.277500080781	33.6675234898112	1965.82051945348	58.4794075330065	22023.1756594531
"M24h0.0c"	"Mature"	"24h"	0	"c"	138.329425208571	243.970331397804	91.9373792532766	63.9345981081208	348.813724621848	532.784000911232	164.404320956875	20.1297988124331	76.9873052060937	36047.2812838187
"M24h0.5a"	"Mature"	"24h"	0.5	"a"	63.8958626659686	185.35176904856	54.6530220833379	47.2679022140384	214.712180450778	311.396697625771	19.7723316903816	1706.90732286784	56.9219359714506	24092.8181842208
"M24h0.5b"	"Mature"	"24h"	0.5	"b"	73.4334529884341	160.366060067358	104.173284463993	78.1729560169766	241.986897594041	349.216248543819	81.7385438498936	1747.51852014983	67.7568507912581	30169.215455569
"M24h0.5c"	"Mature"	"24h"	0.5	"c"	145.665555851666	194.366040124602	72.7941206607193	64.0150648040649	234.076859811004	407.175562773518	126.398986904364	2463.4253692166	58.6274958076612	30197.624616763
"M24h1.0a"	"Mature"	"24h"	1	"a"	55.1091543207727	131.331123150721	152.821978563384	48.7953642831022	232.644933981121	267.875813168524	30.0021425553795	1836.37615712145	40.816838935685	22595.865280337
"M24h1.0b"	"Mature"	"24h"	1	"b"	88.5595753271904	168.056570321345	53.0022915733718	48.6858957471516	277.388147116917	348.920366184601	42.1575674812945	2583.97814041735	25.4302451304288	28533.8591421572
"M24h1.0c"	"Mature"	"24h"	1	"c"	127.450324067002	154.311540374633	65.5230874537394	73.8804908883585	227.370285717933	367.534952736396	79.6865695185243	2214.03945314588	34.3933183656193	33490.8584744014
"M10d0.0a"	"Mature"	"10d"	0	"a"	87.8704819086666	232.088681687881	520.128391508598	27.7413094832766	338.004897693713	501.540063578587	111.262168043987	2443.42414962984	46.0608787300277	21502.9431961317
"M10d0.0b"	"Mature"	"10d"	0	"b"	366.748568167689	160.419240580422	580.449000642531	30.8269362726121	239.650834789683	239.285147294746	51.3339042889785	873.345546792309	13.2454161263612	20613.5372165943
"M10d0.0c"	"Mature"	"10d"	0	"c"	213.254541643165	224.347591557482	494.622257126038	20.9280163143875	412.233058896737	518.455752727741	22.4040517659639	1065.44416699204	1.05139284020344	14771.3675942265
"M10d0.5a"	"Mature"	"10d"	0.5	"a"	132.902819819303	146.808163320587	400.034729730022	22.6778098740055	280.978147554874	279.575687945453	23.005151919419	1196.61666341579	13.1834238458913	17028.5855187637
"M10d0.5b"	"Mature"	"10d"	0.5	"b"	185.590341881633	181.095551380789	424.811857304589	28.458313598081	308.835264289239	362.93397809805	25.1134990667722	1568.19040620778	0.514569666133261	17161.2224169676
"M10d0.5c"	"Mature"	"10d"	0.5	"c"	243.956132366142	149.467560297701	462.620204139543	25.5669323949785	303.586662469081	351.39973329777	36.6452299859587	1777.62349968156	1.31325731844546	17949.2556857173
"M10d1.0a"	"Mature"	"10d"	1	"a"	166.153873685307	50.4846414409817	70.3114995725793	51.4222798776973	86.9031009127567	223.848321761351	9.4137431747835	1811.2931579989	14.2367215202174	24215.1635464869
"M10d1.0b"	"Mature"	"10d"	1	"b"	314.556518848207	63.6328776476456	376.470787333902	27.8702015962667	109.996398605738	191.95066327488	26.1700156543473	1618.76685478771	3.63649884147138	16694.9982186547
"M10d1.0c"	"Mature"	"10d"	1	"c"	279.495643350848	62.9832706234194	560.173033716273	24.3578617585288	144.288994992078	286.07693345576	22.6901924020416	2706.46880265266	0.375288371704294	16436.16396784
