"Sample"	"Maturation"	"Exposure"	"Dose"	"Replicate"	"CHOLINE"	"CREATINE"	"CREATININE"	"CYTIDINE"	"CYTOSINE"	"D-SORBITOL"	"DEOXYCARNITINE"	"DEOXYCYTIDINE"	"DOPAMINE"	"GLUTARYLCARNITINE"
"I24h0.0a"	"Immature"	"24h"	0	"a"	6239.91511697375	3241.1619194364	17.9186825718921	21.5360729905831	33.8425776907021	8.47799877861501	62.1567149475861	216.187520298974	12.5580469443135	10.8792285395853
"I24h0.0b"	"Immature"	"24h"	0	"b"	8472.88414098911	3366.46018380299	26.5989769828956	23.8041372236655	36.4298340517632	34.4185557467282	70.384555164652	234.825119937753	13.0100787626047	10.2826895412236
"I24h0.0c"	"Immature"	"24h"	0	"c"	9176.19793567231	4123.34518484941	37.6609370142535	27.4275313897195	62.6738934720351	20.2462207355823	99.4407433888717	507.924787916513	26.0444689285039	8.79978466581582
"I24h0.5a"	"Immature"	"24h"	0.5	"a"	9076.74394317484	3688.06808766816	41.3767799351098	21.1593865607751	51.3236729738841	17.0433096850812	75.3235610012477	312.41527189445	23.1761145294263	12.7406295749365
"I24h0.5b"	"Immature"	"24h"	0.5	"b"	8865.51913498424	44.5599481298519	28.7990322290266	15.4554648913791	23.1006337920524	27.8644166114012	2.66502147833215	56.7295320402384	2.75435548805863	2.19080932866713
"I24h0.5c"	"Immature"	"24h"	0.5	"c"	12275.1353569609	4759.5352354268	51.5982127506263	29.4305002941563	66.1145871693411	44.6570982437611	113.871964241306	420.528242845081	12.7353446693012	11.547736419236
"I24h1.0a"	"Immature"	"24h"	1	"a"	9679.44599273253	3762.61913579037	38.6525022182439	37.8627705843196	43.4780528998193	21.18492142492	70.6903195770144	254.173838416682	13.4590205915292	3.74004333785911
"I24h1.0b"	"Immature"	"24h"	1	"b"	8992.70352149402	3855.37253616955	45.2186187625747	26.9941480649361	57.3437240167499	21.6228207310215	84.6624918930872	358.804137934403	20.1017091339096	6.32723993622766
"I24h1.0c"	"Immature"	"24h"	1	"c"	9750.37413041787	4326.37600463389	35.5482977125208	34.2963187160151	64.2946645225995	10.802998768659	87.4836135603924	416.452870261923	12.6671760762213	14.5741502123908
"I10d0.0a"	"Immature"	"10d"	0	"a"	25025.9433720588	13924.9842212382	253.311296625974	106.769023403636	118.819654678833	41.5835764715142	108.496870570879	360.299293967818	16.1925452234236	8.25300082729495
"I10d0.0b"	"Immature"	"10d"	0	"b"	28817.4722826707	15443.9283330736	435.479127212542	161.566058546307	181.2242240958	51.031386488921	190.771597192825	646.458316801198	21.720394877	13.8655110719598
