"Sample"	"Maturation"	"Exposure"	"Dose"	"Replicate"	"GUANIDOACETIC ACID (GLYCOCYAMINE)"	"GUANINE"	"GUANOSINE"	"HEXANOIC ACID"	"HYPOXANTHINE"	"L-ALANINE"	"L-ARGININE"	"L-PIPECOLIC ACID"	"L-PROLINE"	"LAUROYLCARNITINE"
"I24h0.0a"	"Immature"	"24h"	0	"a"	14.5579386896241	1.77866038456054	6.20909128386183	195.192578631772	845.821092723847	20.7854697781633	40.2236827668402	6.17219473385836	1752.05392200976	34.9631980140725
"I24h0.0b"	"Immature"	"24h"	0	"b"	21.0994354270859	3.72459877969	9.62820612241155	207.622920100915	1047.4206617948	18.8073817845499	10.470896898051	2.35129781049657	932.389469402684	43.5704980111457
"I24h0.0c"	"Immature"	"24h"	0	"c"	22.4475819814632	2.82901764419679	6.45736181708474	209.759885947959	2133.10624554938	23.8263119254418	31.5497486488969	12.0364786054424	2619.31918911332	65.5561030330565
"I24h0.5a"	"Immature"	"24h"	0.5	"a"	20.1760308575327	2.54359914286655	6.35689643163506	215.584003212573	1611.74652391718	23.7353895252412	26.2989586372795	7.74669762423491	1745.00859756434	60.4024568334864
"I24h0.5b"	"Immature"	"24h"	0.5	"b"	9.70680911575213	2.33732599343307	7.83128861448097	238.042327050583	1140.09835093125	0.132466141646374	2.6301553638848	1.18233278286528	57.9732564522019	22.0898432366224
"I24h0.5c"	"Immature"	"24h"	0.5	"c"	32.9340436435858	4.36551370445952	13.0640807112137	201.700420126078	2250.94425933421	24.2286335366487	25.6345709706243	5.03917602013331	1692.23123541618	61.5430801877836
"I24h1.0a"	"Immature"	"24h"	1	"a"	19.8049476324864	1.91748419720272	5.61140317503993	224.230413147525	1747.04265307603	16.6458166369293	9.58384097626663	3.96587563362107	1078.48002079798	67.8892662638207
"I24h1.0b"	"Immature"	"24h"	1	"b"	14.9882692746526	2.83174197704107	8.88260171599419	201.359697880371	1372.93145013049	21.0002071100738	54.5691006829925	9.70931864717556	2538.20869221726	48.5605824486927
"I24h1.0c"	"Immature"	"24h"	1	"c"	16.6077501592254	1.61918620740942	7.36164301972823	206.901753937531	2106.28063098125	26.5317417858249	23.2821045734868	7.21128484513869	2915.5453385723	53.5133410381675
"I10d0.0a"	"Immature"	"10d"	0	"a"	180.441186842848	4.66361621062129	22.0667739227949	240.337423407722	23406.6673747887	64.5620719229975	19.5687271578929	2.61733964682112	543.265573568462	144.603036959087
"I10d0.0b"	"Immature"	"10d"	0	"b"	178.663718946382	7.62112975751914	33.3310216982336	226.814817807223	29356.6570853841	87.2814558530431	25.746871161342	7.20179970080295	926.155474276555	235.677739605402
"I10d0.0c"	"Immature"	"10d"	0	"c"	195.028348061044	13.9982022368352	45.8192466304678	247.985863675071	36486.8117508495	86.4008178742088	5.21843359791424	5.159621321707	732.397448366895	200.656327531718
"I10d0.5a"	"Immature"	"10d"	0.5	"a"	112.15781208931	10.0167345927363	28.0870076480228	229.306080429981	20144.7934251537	63.4542619187861	38.5696629825679	5.4966811252879	690.863471414357	119.954544456942
"I10d0.5b"	"Immature"	"10d"	0.5	"b"	112.993505981545	4.67393254186606	16.8042912951426	241.825127460895	18596.8553463891	52.4259629773476	12.7968969700266	3.13840129399825	251.233692575931	80.2776854342745
"I10d0.5c"	"Immature"	"10d"	0.5	"c"	159.534680214969	11.7685111281663	36.0013249389297	198.141475451724	33845.013078414	71.6292937345677	17.7538301237837	7.00442060922109	588.432151695606	129.406886247407
"I10d1.0a"	"Immature"	"10d"	1	"a"	73.1861010024824	7.43606520877468	23.1394231889975	230.250566977805	21537.0018974242	55.6051954737204	81.0605506333151	5.21159506959006	523.713073598855	72.7137977688096
"I10d1.0b"	"Immature"	"10d"	1	"b"	103.098857343791	14.1621273556228	40.1277144755618	299.207706511017	27655.528706643	68.3207470482152	10.8157543490681	2.01755747308699	358.212052109916	99.3867754414718
"I10d1.0c"	"Immature"	"10d"	1	"c"	94.8847571180803	13.1882779308083	40.2248474522542	283.903999852616	27543.4187622132	53.2612143975656	11.1250653606616	3.38987362539986	228.270828022446	54.1974662642353
