"Sample"	"Maturation"	"Exposure"	"Dose"	"Replicate"	"MYO-INOSITOL"	"N-ACETYL-D-MANNOSAMINE"	"NICOTINAMIDE (NIACINE)"	"PALMITOYLCARNITINE"	"PYRIDOXAL"	"PYRIDOXINE"	"SORBIC ACID"	"THIAMINE"	"XANTHOSINE"	"(R,R)-TARTARIC ACID"
"I24h0.0a"	"Immature"	"24h"	0	"a"	1027.63637892097	24.4400080670121	943.625365604201	191.698019057019	61.2082873818842	148.893817977415	78.8389806170567	336.928902455057	71.8031581027729	17.3496618890474
"I24h0.0b"	"Immature"	"24h"	0	"b"	1735.60003540019	25.1159078596579	488.40771268949	202.453204275882	159.914886386203	41.2806274077132	119.316459726951	489.834561610899	121.508480205459	7.82152721748387
"I24h0.0c"	"Immature"	"24h"	0	"c"	1295.95789597703	28.9411382570957	1031.52336948856	258.694689006755	138.792375973808	121.770115669803	98.7465032371103	615.522294111816	94.3437062229349	14.1101624530736
"I24h0.5a"	"Immature"	"24h"	0.5	"a"	1523.70061845745	26.9562610081368	478.526534901159	258.704404379553	170.406849403959	74.7058163483362	64.1445878694103	478.544451104226	110.421398195377	5.77808974878077
"I24h0.5b"	"Immature"	"24h"	0.5	"b"	11.7828973425578	18.0748113303601	601.953712243165	228.546059936356	166.863539528144	75.9718674517508	152.586494158466	50.6098025851459	106.552993119762	3.82082895251462
"I24h0.5c"	"Immature"	"24h"	0.5	"c"	1763.45041806752	15.7508077141149	1266.38751485983	274.978683432669	274.122202171683	53.8315854102603	85.8295877901325	700.778380657973	132.927728914913	22.7079377230855
"I24h1.0a"	"Immature"	"24h"	1	"a"	1527.42685437984	30.8207695077687	497.59666558877	291.871179016033	176.059694925598	20.6218051672476	118.034118208258	572.990824063277	154.204837570338	8.73125316002634
"I24h1.0b"	"Immature"	"24h"	1	"b"	1854.60613491724	31.3843165689599	779.842248010843	237.334716843625	102.747586078275	81.2436102300173	80.1893157584985	498.110704611754	92.948831394658	12.2431498604942
"I24h1.0c"	"Immature"	"24h"	1	"c"	1092.73858463489	34.9387476195063	1595.38510263119	303.281486485709	68.2461462398558	144.651028938913	74.35550153758	540.748105611567	107.785406330575	17.890997954773
"I10d0.0a"	"Immature"	"10d"	0	"a"	1364.44707387177	61.0617754248846	2245.30430658551	4349.69832759785	263.197531981717	41.988438708427	61.4162801741383	1623.41491726503	1095.63531805568	33.1040435115026
"I10d0.0b"	"Immature"	"10d"	0	"b"	1493.02432894177	79.9386366679196	3082.79565162194	5044.23659413283	351.995771848958	85.9470719805859	47.5318213240451	1965.71429594079	1344.35790220701	48.8292994250067
"I10d0.0c"	"Immature"	"10d"	0	"c"	1345.33836762164	69.2417906938081	4028.91967781277	5124.02703328045	391.931088244512	64.1180185744368	35.815336230408	1989.29473053415	1782.64554334949	85.1885065451621
"I10d0.5a"	"Immature"	"10d"	0.5	"a"	1517.48421410146	43.8645878408473	2059.74630925883	4559.73789129587	234.862895416606	53.2497920750319	53.4206120560122	1559.63946874859	995.789701979392	27.3358568814414
"I10d0.5b"	"Immature"	"10d"	0.5	"b"	1287.04816114597	40.5774123478989	1873.605269849	2966.06689236217	223.657231172794	28.0522144510108	58.3739472131313	1133.03823626333	877.735376888023	36.1563945927587
"I10d0.5c"	"Immature"	"10d"	0.5	"c"	1285.63790621228	61.7925797719358	3733.67267846813	4946.52319288149	354.095077060614	36.9908004596089	46.1567423403153	1789.56526290849	1753.44822226014	74.7279157867533
"I10d1.0a"	"Immature"	"10d"	1	"a"	1983.677373504	45.9148405656434	2399.5275018293	3355.84353798389	224.080437654734	65.1734193227549	56.6142742946773	1527.58479984775	1069.49976449274	26.3384076436534
"I10d1.0b"	"Immature"	"10d"	1	"b"	2066.14615241503	49.0722591599754	3161.35822430488	3715.30784129184	364.603047508671	57.3244305079747	56.7405519844041	1601.80762883317	1273.91997179249	38.9950473313968
"I10d1.0c"	"Immature"	"10d"	1	"c"	1471.41453480767	28.5349582561194	3073.44315128826	3229.70491057611	304.625554127326	29.9798256772725	62.3601611719925	1222.47227503265	1425.70306481743	53.4712690956695
"M24h0.0a"	"Mature"	"24h"	0	"a"	2296.2873572052	39.2289486834759	8175.60434920881	4156.38011332717	389.185335763139	51.9240614278713	45.096557100728	1458.97394127085	893.54825702711	26.9002821201704
"M24h0.0b"	"Mature"	"24h"	0	"b"	1830.90172354857	51.8816825474371	7580.42549874573	5133.30273825764	293.770198461612	79.2921509112135	53.2531911649219	1381.51181631091	835.423768388786	41.9920452198378
"M24h0.0c"	"Mature"	"24h"	0	"c"	2314.19462849025	81.5959213642767	10490.3678522071	5628.50155064156	450.46570874432	55.4508777260068	75.3202209323772	1757.23319276188	936.29667728569	36.4178351733372
"M24h0.5a"	"Mature"	"24h"	0.5	"a"	2201.59476426568	44.8666144673362	7746.83205829737	4120.32047301703	296.335158649115	74.7175259595345	49.6655102139262	1384.95882161041	765.508706464266	35.8115526417404
"M24h0.5b"	"Mature"	"24h"	0.5	"b"	2164.93827430018	52.2004464272765	7389.35623345371	3860.61718613903	351.612610499797	29.9211112637001	58.8270162775727	1065.38293308173	739.328379400206	32.8474484925998
"M24h0.5c"	"Mature"	"24h"	0.5	"c"	1976.41024767192	61.4219465277678	8801.09746354096	5473.3433198516	431.20499395298	60.9332297987388	71.933643389093	1413.74861853004	1007.04468283102	41.2947163176513
"M24h1.0a"	"Mature"	"24h"	1	"a"	2040.50864603369	30.0103855102042	6026.06171999847	4611.46625181305	240.460615679705	34.0813305879804	49.2225385795316	1063.88837382901	545.401745375229	24.3357112808237
"M24h1.0b"	"Mature"	"24h"	1	"b"	2386.71885207766	42.2321933854736	7725.0781317	4279.76440687411	362.007914201102	37.5844004366042	63.5256152131274	1318.86386602796	826.297266154541	23.4460786192454
"M24h1.0c"	"Mature"	"24h"	1	"c"	2350.41034068068	46.1486327182863	7805.20913441486	5314.47197791979	442.687071642254	21.6101438590541	82.710377094418	1324.65372941486	838.091653249428	21.22250018037
"M10d0.0a"	"Mature"	"10d"	0	"a"	1337.12411108173	39.7038948120626	8703.52763486311	11858.7485937119	351.620894340047	27.765629010492	49.156447595724	1279.00433925775	3103.57761392605	2.88551518865681
"M10d0.0b"	"Mature"	"10d"	0	"b"	1306.32422667518	33.7167145800301	7265.57625275587	7259.76584909682	331.627796711161	29.4731288586021	68.5473866126886	1482.15207755111	2458.54817821141	0.673520928465428
"M10d0.0c"	"Mature"	"10d"	0	"c"	836.671913538829	70.300047437656	7952.24737868454	10679.7329249882	269.245004104449	40.3244060362589	40.8332519884311	1583.95262340838	2682.72349819223	0.28508688190346
"M10d0.5a"	"Mature"	"10d"	0.5	"a"	1173.11068842789	48.0976106312583	7370.94246547376	7511.75391955411	223.501644639646	38.6086970256666	45.8235018877031	1383.0112846466	2337.42413699102	1.80549361399707
"M10d0.5b"	"Mature"	"10d"	0.5	"b"	1184.42726184409	61.1010780881814	7942.17088703301	9061.99195512666	282.652579151692	73.0285753416836	47.7785682275528	1528.0495591644	2469.39615623231	1.02453293504856
"M10d0.5c"	"Mature"	"10d"	0.5	"c"	1189.70739512297	55.0237653163413	8257.31231109487	8252.75519281734	328.564263783938	61.4333457638589	49.7308808665056	1674.03083253373	2682.3578314789	2.52747732648121
"M10d1.0a"	"Mature"	"10d"	1	"a"	2353.86325049672	26.5744677708209	5934.65505903098	6553.98233561392	323.167132594502	19.2153666067559	43.3113025286808	1075.76330087099	1742.71598794238	1.33770083036586
"M10d1.0b"	"Mature"	"10d"	1	"b"	1250.93576213023	64.8491394071952	7273.04483051705	8863.38389049054	316.544919908611	29.6816074271993	36.9867932298591	1783.1266914646	2558.66881765586	1.01280819344327
"M10d1.0c"	"Mature"	"10d"	1	"c"	1036.07460113851	37.8985622593504	6306.7520627211	6945.18733508201	293.75318562664	37.9904949604541	49.5061414437778	1502.74900989022	2194.48335758333	1.22463433056614
