"Sample"	"Maturation"	"Exposure"	"Dose"	"Replicate"	"2,6-DIHYDROXYPYRIDINE"	"3-(4-HYDROXYPHENYL)LACTIC ACID"	"3-(4-HYDROXYPHENYL)PYRUVIC ACID"	"3-METHYL-2-OXOVALERIC ACID"	"ADENOSINE 3',5'-DIPHOSPHATE"	"ADENOSINE 5'-DIPHOSPHORIBOSE"	"ADENOSINE 5'-MONOPHOSPHATE"	"AZELAIC ACID"	"BIOTIN"	"D-PSICOSE"
"I24h0.0a"	"Immature"	"24h"	0	"a"	5.20517909558813	43.8029094071862	23.2812414764188	17.9624395339157	8.53030018271261	49.4989342144867	1673.50932416318	61.5457938856689	4.14776472373732	3979.28185466621
"I24h0.0b"	"Immature"	"24h"	0	"b"	4.16363252897195	48.7517947189952	21.6693379004176	22.7438166444465	9.41640572771219	68.3859808369605	1472.82967832045	59.841400306919	3.96487671447913	5951.06559430819
"I24h0.0c"	"Immature"	"24h"	0	"c"	8.01409071714755	61.6150683052443	23.7264899549491	21.8820158392511	10.3779485498594	67.6776645729061	2889.21478083181	58.5214845851185	2.92792501765867	4777.99026167057
"I24h0.5a"	"Immature"	"24h"	0.5	"a"	5.80870580196777	44.5224972355764	21.5925395627518	25.1089041679559	11.4999742685864	61.3518064242512	1723.83409633893	51.3672278124185	4.40440161165773	5602.209440706
"I24h0.5b"	"Immature"	"24h"	0.5	"b"	7.07705221654609	46.0642079494095	23.8633080463347	23.893975892324	10.1766491591456	53.0938858209898	1760.67894825485	62.4955021696244	3.62596374826725	4296.0863235062
"I24h0.5c"	"Immature"	"24h"	0.5	"c"	6.07487464224709	72.7317026223608	25.475660040802	33.5013798351018	15.5186043602372	75.4703771727269	3179.00237398311	60.2647603354708	6.42162119863365	5946.00368940982
"I24h1.0a"	"Immature"	"24h"	1	"a"	3.00456872644987	48.3786383557206	22.6521879510689	26.854695104185	7.81859032388209	66.3733841119482	1653.87138212702	73.1425811729915	3.79887588434548	4477.49054404182
"I24h1.0b"	"Immature"	"24h"	1	"b"	5.67818147273269	46.5589034381362	12.3187552766573	24.9168751344638	5.54653870668498	71.4053566322736	1929.5329691588	62.0410693843886	3.81298199725422	6258.03041454684
"I24h1.0c"	"Immature"	"24h"	1	"c"	6.30023523044424	62.9719115027121	26.744933869575	25.73352266926	8.87387319592405	68.5854264935207	3684.0165441816	71.414000696943	4.68069101506335	4999.80836896636
"I10d0.0a"	"Immature"	"10d"	0	"a"	5.4766701855163	57.8736796024569	22.5938808863254	32.6445736653574	13.073024029075	254.209650089112	7072.47782512367	60.7146722159189	13.3311659579408	5459.41272917853
"I10d0.0b"	"Immature"	"10d"	0	"b"	8.01238821220323	81.5639220601347	21.9822750863634	46.1897386055549	19.0108930477329	390.204644630794	8654.57208998913	56.2309101509096	14.5303629656246	5756.23027789999
"I10d0.0c"	"Immature"	"10d"	0	"c"	8.44709797512675	84.5083353429027	23.5374406835817	41.6372267887318	20.8818483143747	573.297450851561	8162.44173358303	67.1609499067692	17.9375115291111	6269.44558484539
"I10d0.5a"	"Immature"	"10d"	0.5	"a"	5.51990667185484	37.1758539806428	24.3906110496992	37.2325905050318	12.9820639393377	297.35982602756	6556.04076501469	62.284364360445	13.3933314100483	6120.25099011579
"I10d0.5b"	"Immature"	"10d"	0.5	"b"	3.55174247432303	39.3767368726614	20.02577462519	25.8101226662508	11.2734312604621	268.960136569478	5428.30589888695	51.402987250623	12.1059461454303	5464.9179248338
"I10d0.5c"	"Immature"	"10d"	0.5	"c"	5.07776806031388	58.4003344141547	23.0873817537596	31.3142830129141	13.3729603054533	556.688684118659	6087.94797340731	60.5373592907557	13.5685028172292	5403.38912284508
"I10d1.0a"	"Immature"	"10d"	1	"a"	4.14280938793229	32.9293146079601	19.9054394635651	28.502762260003	10.1757389126365	398.992416465192	4753.32344340308	63.0910376394451	9.88422288073751	6508.60287911535
"I10d1.0b"	"Immature"	"10d"	1	"b"	3.8863560895383	37.2490099971297	24.1330185800567	37.5699968276904	13.4740195435327	466.768516408518	4584.22388405847	59.0285133411353	12.6192943617773	7343.96845547265
"I10d1.0c"	"Immature"	"10d"	1	"c"	6.28109603437987	33.6292690777186	23.6439743416606	31.6417243558366	13.7585811365583	539.618020817443	3379.00736681109	61.8140990291324	13.7165915080339	6505.37641672746
"M24h0.0a"	"Mature"	"24h"	0	"a"	1.76156626772216	27.3648611104006	24.0190377072345	25.8103153067328	11.0002650123886	2264.20403999761	663.147327467631	60.1050009537066	12.856106667933	8026.61745208427
"M24h0.0b"	"Mature"	"24h"	0	"b"	2.13745483181622	29.883362853305	23.8611360598782	20.1700045651482	11.8750054959704	2232.76377446411	545.071356232355	66.4856103146967	13.9521312433058	6643.91273975629
"M24h0.0c"	"Mature"	"24h"	0	"c"	3.17048262292567	31.6050951513895	20.078305884477	20.8569593371101	12.9971005018498	2439.03209111565	458.586238881148	62.5844136778206	12.7068792233227	6662.05183111052
"M24h0.5a"	"Mature"	"24h"	0.5	"a"	2.93618107315704	25.6671451308881	23.6474082913255	20.4333682575913	10.8855205575343	2256.15877886444	606.609844724569	58.8620501002947	10.8826665691996	6765.77768842708
"M24h0.5b"	"Mature"	"24h"	0.5	"b"	2.65170267318197	19.208600965913	23.8484285202295	11.6212989438994	8.20201906290461	1823.10861523947	308.117725631917	58.2245082061081	9.57248323647286	6082.05458903891
"M24h0.5c"	"Mature"	"24h"	0.5	"c"	1.68689358536276	23.8936277078955	20.3665596776354	14.6764447373832	11.2109994696718	2131.79420344565	380.224515269864	63.9805238923509	10.5410516261317	5558.98000249954
"M24h1.0a"	"Mature"	"24h"	1	"a"	1.69273065382967	26.0136111245685	21.4927792130878	11.3364945752164	9.90388065827497	1794.64499420354	324.844814775001	69.1362989964431	8.12060972198547	6139.81708497285
"M24h1.0b"	"Mature"	"24h"	1	"b"	2.20404442304403	21.0742123028757	22.7021632159724	13.4784664639125	9.94867628605045	1892.84610055506	341.90602525414	57.6396157673823	7.45304171356858	6344.41068349713
"M24h1.0c"	"Mature"	"24h"	1	"c"	3.00397209138202	20.8877621575611	19.1056503575986	11.2373631935401	6.01835345061424	1647.11490199197	237.190991060545	58.5972290391645	8.68482777633141	7324.09027929001
"M10d0.0a"	"Mature"	"10d"	0	"a"	2.0291110853792	37.2054389517345	20.7866182824379	35.1091107843143	8.94001823232059	2280.49413202159	787.361184972151	61.7960974787425	12.3583664493385	5292.96969401433
"M10d0.0b"	"Mature"	"10d"	0	"b"	1.67708758102816	23.7656924102929	25.321012750314	10.1142407005644	5.18246680571766	1147.23962068695	223.652507309543	65.3393072000053	8.39589348885572	5698.41297565003
"M10d0.0c"	"Mature"	"10d"	0	"c"	2.77145348678046	40.6041139247427	24.7470030791862	14.7276090190979	9.05462131803225	2022.23125811997	576.542428694656	64.92277126062	9.16937754313433	4710.19106959854
"M10d0.5a"	"Mature"	"10d"	0.5	"a"	3.98066097776365	26.7778002643366	23.3443161011101	12.3908552667285	7.99711314410988	1876.11359476737	519.441710382286	63.539159450435	10.794505989905	4579.44867922729
"M10d0.5b"	"Mature"	"10d"	0.5	"b"	4.12649917613686	35.8996035813607	23.44963629526	14.2101417782368	9.33598831300262	2009.78866386423	523.480481345715	59.3522964646668	7.84339159329227	5723.25558669339
"M10d0.5c"	"Mature"	"10d"	0.5	"c"	3.62966413346353	37.500523299887	21.8579932023781	13.7878598919483	6.35619339053204	2172.36950289853	385.478298576313	82.5313042032575	8.25315512202726	5414.57133272049
"M10d1.0a"	"Mature"	"10d"	1	"a"	2.11634878628008	22.8702670424443	25.948268155864	12.703920978861	5.107522983658	1483.68874713809	265.163469970746	64.0033308894843	8.46828472672803	7295.16781052222
"M10d1.0b"	"Mature"	"10d"	1	"b"	1.53469907316858	36.3014207846253	22.9324151243455	12.3815005065707	12.2694684235409	1832.53091015813	261.986043867806	61.2092430343665	9.267481629467	5023.51326626067
"M10d1.0c"	"Mature"	"10d"	1	"c"	1.46627815378371	32.2738969931735	21.607600076713	10.1167480667953	9.80187610225525	1361.37239323469	226.015807242182	69.7144792285354	9.02127236091802	5362.88199711943
